 Taegu Pyungkwang River Catchment:  Calibration Data                             
 Starting Subcatchment     1
 Subcatchment : Extracted study basin: Taegu Pyungkwang River                                   
 TL =     5.45
SUMAC =     1.00
 SZQ   0.63446E+00
 SUBCATCHMENT ROUTING DATA
 Maximum Routing Delay   0.41667E+00
 Sum of histogram ordinates      1.0000
  0.10000E+01
 Initial Balance BAL -0.31784E+00
 Initial SBAR         0.31584E+00
 Initial SR0          0.20000E-02
   it       p        ep       q(it)       quz      q       sbar       qof
  240 0.000E+00 0.173E-03 0.759E-04 0.272E-08 0.759E-04 0.289E+00 0.000E+00
  241 0.500E-03 0.191E-03 0.758E-04 0.256E-08 0.758E-04 0.289E+00 0.000E+00
  242 0.100E-02 0.200E-03 0.756E-04 0.241E-08 0.756E-04 0.289E+00 0.000E+00
  243 0.000E+00 0.191E-03 0.754E-04 0.157E-08 0.754E-04 0.289E+00 0.000E+00
  244 0.000E+00 0.173E-03 0.752E-04 0.148E-08 0.752E-04 0.289E+00 0.000E+00
  245 0.000E+00 0.141E-03 0.750E-04 0.140E-08 0.750E-04 0.289E+00 0.000E+00
  246 0.000E+00 0.998E-04 0.749E-04 0.132E-08 0.749E-04 0.290E+00 0.000E+00
  247 0.000E+00 0.483E-04 0.747E-04 0.125E-08 0.747E-04 0.290E+00 0.000E+00
  248 0.000E+00 0.000E+00 0.745E-04 0.117E-08 0.745E-04 0.290E+00 0.000E+00
  249 0.000E+00 0.000E+00 0.743E-04 0.666E-09 0.743E-04 0.290E+00 0.000E+00
  250 0.000E+00 0.000E+00 0.742E-04 0.630E-09 0.742E-04 0.290E+00 0.000E+00
  251 0.000E+00 0.000E+00 0.740E-04 0.596E-09 0.740E-04 0.290E+00 0.000E+00
  252 0.000E+00 0.000E+00 0.738E-04 0.564E-09 0.738E-04 0.290E+00 0.000E+00
  253 0.100E-02 0.000E+00 0.737E-04 0.533E-09 0.737E-04 0.290E+00 0.000E+00
  254 0.000E+00 0.000E+00 0.735E-04 0.505E-09 0.735E-04 0.290E+00 0.000E+00
  255 0.000E+00 0.000E+00 0.733E-04 0.356E-09 0.733E-04 0.290E+00 0.000E+00
  256 0.000E+00 0.000E+00 0.732E-04 0.337E-09 0.732E-04 0.290E+00 0.000E+00
  257 0.000E+00 0.000E+00 0.730E-04 0.320E-09 0.730E-04 0.290E+00 0.000E+00
  258 0.000E+00 0.000E+00 0.728E-04 0.303E-09 0.728E-04 0.290E+00 0.000E+00
  259 0.000E+00 0.000E+00 0.727E-04 0.287E-09 0.727E-04 0.290E+00 0.000E+00
  260 0.000E+00 0.000E+00 0.725E-04 0.272E-09 0.725E-04 0.291E+00 0.000E+00
  261 0.000E+00 0.752E-04 0.723E-04 0.258E-09 0.723E-04 0.291E+00 0.000E+00
  262 0.100E-02 0.145E-03 0.722E-04 0.184E-09 0.722E-04 0.291E+00 0.000E+00
  263 0.000E+00 0.205E-03 0.720E-04 0.175E-09 0.720E-04 0.291E+00 0.000E+00
  264 0.000E+00 0.251E-03 0.718E-04 0.166E-09 0.718E-04 0.291E+00 0.000E+00
  265 0.000E+00 0.278E-03 0.717E-04 0.158E-09 0.717E-04 0.291E+00 0.000E+00
  266 0.000E+00 0.290E-03 0.715E-04 0.150E-09 0.715E-04 0.291E+00 0.000E+00
  267 0.000E+00 0.278E-03 0.714E-04 0.142E-09 0.714E-04 0.291E+00 0.000E+00
  268 0.000E+00 0.251E-03 0.712E-04 0.101E-09 0.712E-04 0.291E+00 0.000E+00
  269 0.000E+00 0.205E-03 0.710E-04 0.960E-10 0.710E-04 0.291E+00 0.000E+00
  270 0.000E+00 0.145E-03 0.709E-04 0.914E-10 0.709E-04 0.291E+00 0.000E+00
  271 0.000E+00 0.702E-04 0.707E-04 0.870E-10 0.707E-04 0.291E+00 0.000E+00
  272 0.000E+00 0.000E+00 0.706E-04 0.828E-10 0.706E-04 0.291E+00 0.000E+00
  273 0.000E+00 0.000E+00 0.704E-04 0.789E-10 0.704E-04 0.291E+00 0.000E+00
  274 0.000E+00 0.000E+00 0.703E-04 0.620E-10 0.703E-04 0.292E+00 0.000E+00
  275 0.000E+00 0.000E+00 0.701E-04 0.591E-10 0.701E-04 0.292E+00 0.000E+00
  276 0.000E+00 0.000E+00 0.700E-04 0.564E-10 0.700E-04 0.292E+00 0.000E+00
  277 0.000E+00 0.000E+00 0.698E-04 0.537E-10 0.698E-04 0.292E+00 0.000E+00
  278 0.000E+00 0.000E+00 0.696E-04 0.512E-10 0.696E-04 0.292E+00 0.000E+00
  279 0.000E+00 0.000E+00 0.695E-04 0.489E-10 0.695E-04 0.292E+00 0.000E+00
  280 0.000E+00 0.000E+00 0.693E-04 0.466E-10 0.693E-04 0.292E+00 0.000E+00
  281 0.000E+00 0.000E+00 0.692E-04 0.393E-10 0.692E-04 0.292E+00 0.000E+00
  282 0.000E+00 0.000E+00 0.690E-04 0.375E-10 0.690E-04 0.292E+00 0.000E+00
  283 0.100E-02 0.000E+00 0.689E-04 0.358E-10 0.689E-04 0.292E+00 0.000E+00
  284 0.500E-03 0.000E+00 0.688E-04 0.341E-10 0.688E-04 0.292E+00 0.000E+00
  285 0.250E-02 0.244E-04 0.686E-04 0.111E-04 0.686E-04 0.292E+00 0.000E+00
  286 0.600E-02 0.470E-04 0.685E-04 0.423E-03 0.685E-04 0.292E+00 0.000E+00
  287 0.400E-02 0.665E-04 0.692E-04 0.668E-03 0.692E-04 0.291E+00 0.000E+00
  288 0.150E-02 0.814E-04 0.706E-04 0.722E-03 0.706E-04 0.291E+00 0.000E+00
  289 0.000E+00 0.901E-04 0.720E-04 0.673E-03 0.720E-04 0.290E+00 0.000E+00
  290 0.000E+00 0.940E-04 0.734E-04 0.627E-03 0.734E-04 0.290E+00 0.000E+00
  291 0.500E-03 0.901E-04 0.746E-04 0.601E-03 0.746E-04 0.289E+00 0.000E+00
  292 0.000E+00 0.814E-04 0.759E-04 0.559E-03 0.759E-04 0.289E+00 0.000E+00
  293 0.000E+00 0.665E-04 0.770E-04 0.521E-03 0.770E-04 0.288E+00 0.000E+00
  294 0.150E-02 0.470E-04 0.781E-04 0.574E-03 0.781E-04 0.288E+00 0.000E+00
  295 0.100E-02 0.228E-04 0.793E-04 0.601E-03 0.793E-04 0.287E+00 0.000E+00
  296 0.000E+00 0.000E+00 0.806E-04 0.560E-03 0.806E-04 0.287E+00 0.000E+00
  297 0.000E+00 0.000E+00 0.819E-04 0.521E-03 0.819E-04 0.286E+00 0.000E+00
  298 0.000E+00 0.000E+00 0.830E-04 0.485E-03 0.830E-04 0.286E+00 0.000E+00
  299 0.000E+00 0.000E+00 0.840E-04 0.451E-03 0.840E-04 0.285E+00 0.000E+00
  300 0.000E+00 0.000E+00 0.850E-04 0.420E-03 0.850E-04 0.285E+00 0.000E+00
  301 0.000E+00 0.000E+00 0.859E-04 0.390E-03 0.859E-04 0.285E+00 0.000E+00
  302 0.000E+00 0.000E+00 0.867E-04 0.363E-03 0.867E-04 0.284E+00 0.000E+00
  303 0.000E+00 0.000E+00 0.875E-04 0.338E-03 0.875E-04 0.284E+00 0.000E+00
  304 0.000E+00 0.000E+00 0.882E-04 0.314E-03 0.882E-04 0.284E+00 0.000E+00
  305 0.000E+00 0.000E+00 0.888E-04 0.292E-03 0.888E-04 0.284E+00 0.000E+00
  306 0.000E+00 0.000E+00 0.893E-04 0.271E-03 0.893E-04 0.284E+00 0.000E+00
  307 0.000E+00 0.000E+00 0.899E-04 0.252E-03 0.899E-04 0.283E+00 0.000E+00
  308 0.000E+00 0.000E+00 0.903E-04 0.234E-03 0.903E-04 0.283E+00 0.000E+00
  309 0.000E+00 0.288E-04 0.907E-04 0.218E-03 0.907E-04 0.283E+00 0.000E+00
  310 0.500E-03 0.555E-04 0.911E-04 0.234E-03 0.911E-04 0.283E+00 0.000E+00
  311 0.000E+00 0.785E-04 0.915E-04 0.218E-03 0.915E-04 0.283E+00 0.000E+00
  312 0.000E+00 0.962E-04 0.919E-04 0.203E-03 0.919E-04 0.283E+00 0.000E+00
  313 0.000E+00 0.106E-03 0.922E-04 0.188E-03 0.922E-04 0.283E+00 0.000E+00
  314 0.000E+00 0.111E-03 0.924E-04 0.175E-03 0.924E-04 0.283E+00 0.000E+00
  315 0.000E+00 0.106E-03 0.927E-04 0.163E-03 0.927E-04 0.283E+00 0.000E+00
  316 0.000E+00 0.962E-04 0.929E-04 0.151E-03 0.929E-04 0.282E+00 0.000E+00
  317 0.500E-03 0.785E-04 0.931E-04 0.140E-03 0.931E-04 0.282E+00 0.000E+00
  318 0.100E-02 0.555E-04 0.932E-04 0.186E-03 0.932E-04 0.282E+00 0.000E+00
  319 0.500E-03 0.269E-04 0.935E-04 0.205E-03 0.935E-04 0.282E+00 0.000E+00
  320 0.000E+00 0.000E+00 0.938E-04 0.190E-03 0.938E-04 0.282E+00 0.000E+00
  321 0.000E+00 0.000E+00 0.941E-04 0.177E-03 0.941E-04 0.282E+00 0.000E+00
  322 0.100E-02 0.000E+00 0.943E-04 0.234E-03 0.943E-04 0.282E+00 0.000E+00
  323 0.100E-02 0.000E+00 0.947E-04 0.289E-03 0.947E-04 0.282E+00 0.000E+00
  324 0.000E+00 0.000E+00 0.953E-04 0.268E-03 0.953E-04 0.282E+00 0.000E+00
  325 0.000E+00 0.000E+00 0.958E-04 0.249E-03 0.958E-04 0.281E+00 0.000E+00
  326 0.000E+00 0.000E+00 0.963E-04 0.231E-03 0.963E-04 0.281E+00 0.000E+00
  327 0.000E+00 0.000E+00 0.967E-04 0.215E-03 0.967E-04 0.281E+00 0.000E+00
  328 0.000E+00 0.000E+00 0.970E-04 0.200E-03 0.970E-04 0.281E+00 0.000E+00
  329 0.000E+00 0.000E+00 0.974E-04 0.185E-03 0.974E-04 0.281E+00 0.000E+00
  330 0.000E+00 0.000E+00 0.976E-04 0.172E-03 0.976E-04 0.281E+00 0.000E+00
  331 0.000E+00 0.000E+00 0.979E-04 0.160E-03 0.979E-04 0.281E+00 0.000E+00
  332 0.000E+00 0.000E+00 0.980E-04 0.148E-03 0.980E-04 0.281E+00 0.000E+00
  333 0.000E+00 0.112E-04 0.982E-04 0.138E-03 0.982E-04 0.281E+00 0.000E+00
  334 0.000E+00 0.216E-04 0.983E-04 0.128E-03 0.983E-04 0.281E+00 0.000E+00
  335 0.000E+00 0.306E-04 0.984E-04 0.119E-03 0.984E-04 0.281E+00 0.000E+00
  336 0.000E+00 0.374E-04 0.985E-04 0.110E-03 0.985E-04 0.281E+00 0.000E+00
  337 0.000E+00 0.414E-04 0.985E-04 0.102E-03 0.985E-04 0.281E+00 0.000E+00
  338 0.500E-03 0.432E-04 0.985E-04 0.121E-03 0.985E-04 0.281E+00 0.000E+00
  339 0.500E-03 0.414E-04 0.986E-04 0.145E-03 0.986E-04 0.281E+00 0.000E+00
  340 0.150E-02 0.374E-04 0.987E-04 0.240E-03 0.987E-04 0.280E+00 0.000E+00
  341 0.150E-02 0.306E-04 0.992E-04 0.328E-03 0.992E-04 0.280E+00 0.000E+00
  342 0.100E-02 0.216E-04 0.999E-04 0.375E-03 0.999E-04 0.280E+00 0.000E+00
  343 0.500E-03 0.105E-04 0.101E-03 0.382E-03 0.101E-03 0.280E+00 0.000E+00
  344 0.100E-02 0.000E+00 0.102E-03 0.426E-03 0.102E-03 0.279E+00 0.000E+00
  345 0.500E-03 0.000E+00 0.103E-03 0.432E-03 0.103E-03 0.279E+00 0.000E+00
  346 0.000E+00 0.000E+00 0.104E-03 0.401E-03 0.104E-03 0.279E+00 0.000E+00
  347 0.000E+00 0.000E+00 0.105E-03 0.372E-03 0.105E-03 0.278E+00 0.000E+00
  348 0.000E+00 0.000E+00 0.106E-03 0.346E-03 0.106E-03 0.278E+00 0.000E+00
  349 0.000E+00 0.000E+00 0.106E-03 0.321E-03 0.106E-03 0.278E+00 0.000E+00
  350 0.000E+00 0.000E+00 0.107E-03 0.298E-03 0.107E-03 0.278E+00 0.000E+00
  351 0.000E+00 0.000E+00 0.108E-03 0.276E-03 0.108E-03 0.278E+00 0.000E+00
  352 0.000E+00 0.000E+00 0.108E-03 0.256E-03 0.108E-03 0.277E+00 0.000E+00
  353 0.500E-03 0.000E+00 0.109E-03 0.274E-03 0.109E-03 0.277E+00 0.000E+00
  354 0.000E+00 0.000E+00 0.109E-03 0.254E-03 0.109E-03 0.277E+00 0.000E+00
  355 0.000E+00 0.000E+00 0.110E-03 0.236E-03 0.110E-03 0.277E+00 0.000E+00
  356 0.000E+00 0.000E+00 0.110E-03 0.219E-03 0.110E-03 0.277E+00 0.000E+00
  357 0.000E+00 0.723E-04 0.111E-03 0.203E-03 0.111E-03 0.277E+00 0.000E+00
  358 0.000E+00 0.140E-03 0.111E-03 0.188E-03 0.111E-03 0.277E+00 0.000E+00
  359 0.000E+00 0.198E-03 0.111E-03 0.175E-03 0.111E-03 0.277E+00 0.000E+00
  360 0.000E+00 0.242E-03 0.111E-03 0.162E-03 0.111E-03 0.277E+00 0.000E+00
  361 0.000E+00 0.267E-03 0.112E-03 0.150E-03 0.112E-03 0.277E+00 0.000E+00
  362 0.000E+00 0.279E-03 0.112E-03 0.139E-03 0.112E-03 0.277E+00 0.000E+00
  363 0.000E+00 0.267E-03 0.112E-03 0.129E-03 0.112E-03 0.277E+00 0.000E+00
  364 0.000E+00 0.242E-03 0.112E-03 0.120E-03 0.112E-03 0.277E+00 0.000E+00
  365 0.000E+00 0.198E-03 0.112E-03 0.111E-03 0.112E-03 0.277E+00 0.000E+00
  366 0.000E+00 0.140E-03 0.112E-03 0.103E-03 0.112E-03 0.277E+00 0.000E+00
  367 0.000E+00 0.676E-04 0.112E-03 0.957E-04 0.112E-03 0.277E+00 0.000E+00
  368 0.000E+00 0.000E+00 0.112E-03 0.888E-04 0.112E-03 0.277E+00 0.000E+00
  369 0.000E+00 0.000E+00 0.112E-03 0.823E-04 0.112E-03 0.277E+00 0.000E+00
  370 0.000E+00 0.000E+00 0.112E-03 0.764E-04 0.112E-03 0.277E+00 0.000E+00
  371 0.000E+00 0.000E+00 0.112E-03 0.709E-04 0.112E-03 0.277E+00 0.000E+00
  372 0.000E+00 0.000E+00 0.111E-03 0.658E-04 0.111E-03 0.277E+00 0.000E+00
  373 0.500E-03 0.000E+00 0.111E-03 0.610E-04 0.111E-03 0.277E+00 0.000E+00
  374 0.750E-02 0.000E+00 0.111E-03 0.490E-03 0.111E-03 0.276E+00 0.000E+00
  375 0.450E-02 0.000E+00 0.112E-03 0.784E-03 0.112E-03 0.276E+00 0.000E+00
  376 0.250E-02 0.000E+00 0.115E-03 0.911E-03 0.115E-03 0.275E+00 0.000E+00
  377 0.500E-03 0.000E+00 0.118E-03 0.883E-03 0.118E-03 0.274E+00 0.000E+00
  378 0.000E+00 0.000E+00 0.121E-03 0.820E-03 0.121E-03 0.273E+00 0.000E+00
  379 0.000E+00 0.000E+00 0.123E-03 0.761E-03 0.123E-03 0.273E+00 0.000E+00
  380 0.000E+00 0.000E+00 0.126E-03 0.706E-03 0.126E-03 0.272E+00 0.000E+00
  381 0.000E+00 0.174E-04 0.128E-03 0.655E-03 0.128E-03 0.272E+00 0.000E+00
  382 0.000E+00 0.336E-04 0.130E-03 0.607E-03 0.130E-03 0.271E+00 0.000E+00
  383 0.100E-02 0.475E-04 0.132E-03 0.633E-03 0.132E-03 0.271E+00 0.000E+00
  384 0.100E-02 0.582E-04 0.134E-03 0.658E-03 0.134E-03 0.270E+00 0.000E+00
  385 0.000E+00 0.643E-04 0.136E-03 0.610E-03 0.136E-03 0.270E+00 0.000E+00
  386 0.500E-03 0.672E-04 0.138E-03 0.594E-03 0.138E-03 0.269E+00 0.000E+00
  387 0.000E+00 0.643E-04 0.140E-03 0.550E-03 0.140E-03 0.269E+00 0.000E+00
  388 0.000E+00 0.582E-04 0.142E-03 0.509E-03 0.142E-03 0.269E+00 0.000E+00
  389 0.000E+00 0.475E-04 0.144E-03 0.472E-03 0.144E-03 0.268E+00 0.000E+00
  390 0.500E-03 0.336E-04 0.145E-03 0.456E-03 0.145E-03 0.268E+00 0.000E+00
  391 0.000E+00 0.163E-04 0.147E-03 0.423E-03 0.147E-03 0.268E+00 0.000E+00
  392 0.500E-03 0.000E+00 0.148E-03 0.425E-03 0.148E-03 0.267E+00 0.000E+00
  393 0.500E-03 0.000E+00 0.149E-03 0.431E-03 0.149E-03 0.267E+00 0.000E+00
  394 0.000E+00 0.000E+00 0.151E-03 0.399E-03 0.151E-03 0.267E+00 0.000E+00
  395 0.000E+00 0.000E+00 0.152E-03 0.369E-03 0.152E-03 0.267E+00 0.000E+00
  396 0.000E+00 0.000E+00 0.153E-03 0.342E-03 0.153E-03 0.266E+00 0.000E+00
  397 0.000E+00 0.000E+00 0.154E-03 0.316E-03 0.154E-03 0.266E+00 0.000E+00
  398 0.000E+00 0.000E+00 0.155E-03 0.292E-03 0.155E-03 0.266E+00 0.000E+00
  399 0.000E+00 0.000E+00 0.155E-03 0.270E-03 0.155E-03 0.266E+00 0.000E+00
  400 0.000E+00 0.000E+00 0.156E-03 0.250E-03 0.156E-03 0.266E+00 0.000E+00
  401 0.000E+00 0.000E+00 0.156E-03 0.231E-03 0.156E-03 0.266E+00 0.000E+00
  402 0.100E-02 0.000E+00 0.157E-03 0.290E-03 0.157E-03 0.266E+00 0.000E+00
  403 0.000E+00 0.000E+00 0.157E-03 0.268E-03 0.157E-03 0.266E+00 0.000E+00
  404 0.000E+00 0.000E+00 0.158E-03 0.248E-03 0.158E-03 0.265E+00 0.000E+00
  405 0.500E-03 0.246E-04 0.158E-03 0.267E-03 0.158E-03 0.265E+00 0.000E+00
  406 0.500E-03 0.474E-04 0.159E-03 0.283E-03 0.159E-03 0.265E+00 0.000E+00
  407 0.000E+00 0.671E-04 0.159E-03 0.262E-03 0.159E-03 0.265E+00 0.000E+00
  408 0.500E-03 0.822E-04 0.160E-03 0.272E-03 0.160E-03 0.265E+00 0.000E+00
  409 0.000E+00 0.909E-04 0.160E-03 0.251E-03 0.160E-03 0.265E+00 0.000E+00
  410 0.000E+00 0.950E-04 0.161E-03 0.232E-03 0.161E-03 0.265E+00 0.000E+00
  411 0.000E+00 0.909E-04 0.161E-03 0.214E-03 0.161E-03 0.265E+00 0.000E+00
  412 0.000E+00 0.822E-04 0.162E-03 0.198E-03 0.162E-03 0.265E+00 0.000E+00
  413 0.000E+00 0.671E-04 0.162E-03 0.183E-03 0.162E-03 0.265E+00 0.000E+00
  414 0.000E+00 0.474E-04 0.162E-03 0.169E-03 0.162E-03 0.265E+00 0.000E+00
  415 0.000E+00 0.230E-04 0.162E-03 0.156E-03 0.162E-03 0.265E+00 0.000E+00
  416 0.000E+00 0.000E+00 0.162E-03 0.145E-03 0.162E-03 0.265E+00 0.000E+00
  417 0.000E+00 0.000E+00 0.162E-03 0.134E-03 0.162E-03 0.265E+00 0.000E+00
  418 0.000E+00 0.000E+00 0.162E-03 0.124E-03 0.162E-03 0.265E+00 0.000E+00
  419 0.000E+00 0.000E+00 0.161E-03 0.114E-03 0.161E-03 0.265E+00 0.000E+00
  420 0.000E+00 0.000E+00 0.161E-03 0.106E-03 0.161E-03 0.265E+00 0.000E+00
  421 0.000E+00 0.000E+00 0.161E-03 0.977E-04 0.161E-03 0.265E+00 0.000E+00
  422 0.000E+00 0.000E+00 0.161E-03 0.903E-04 0.161E-03 0.265E+00 0.000E+00
  423 0.000E+00 0.000E+00 0.160E-03 0.835E-04 0.160E-03 0.265E+00 0.000E+00
  424 0.000E+00 0.000E+00 0.160E-03 0.772E-04 0.160E-03 0.265E+00 0.000E+00
  425 0.000E+00 0.000E+00 0.159E-03 0.714E-04 0.159E-03 0.265E+00 0.000E+00
  426 0.000E+00 0.000E+00 0.159E-03 0.660E-04 0.159E-03 0.265E+00 0.000E+00
  427 0.500E-03 0.000E+00 0.159E-03 0.611E-04 0.159E-03 0.266E+00 0.000E+00
  428 0.200E-02 0.000E+00 0.158E-03 0.203E-03 0.158E-03 0.265E+00 0.000E+00
  429 0.300E-02 0.326E-04 0.158E-03 0.417E-03 0.158E-03 0.265E+00 0.000E+00
  430 0.200E-02 0.629E-04 0.160E-03 0.535E-03 0.160E-03 0.265E+00 0.000E+00
  431 0.100E-02 0.890E-04 0.161E-03 0.566E-03 0.161E-03 0.264E+00 0.000E+00
  432 0.000E+00 0.109E-03 0.163E-03 0.524E-03 0.163E-03 0.264E+00 0.000E+00
  433 0.500E-03 0.121E-03 0.165E-03 0.507E-03 0.165E-03 0.264E+00 0.000E+00
  434 0.000E+00 0.126E-03 0.167E-03 0.468E-03 0.167E-03 0.263E+00 0.000E+00
  435 0.000E+00 0.121E-03 0.169E-03 0.433E-03 0.169E-03 0.263E+00 0.000E+00
  436 0.000E+00 0.109E-03 0.170E-03 0.400E-03 0.170E-03 0.263E+00 0.000E+00
  437 0.350E-02 0.890E-04 0.171E-03 0.602E-03 0.171E-03 0.263E+00 0.000E+00
  438 0.000E+00 0.629E-04 0.174E-03 0.557E-03 0.174E-03 0.262E+00 0.000E+00
  439 0.000E+00 0.305E-04 0.176E-03 0.514E-03 0.176E-03 0.262E+00 0.000E+00
  440 0.000E+00 0.000E+00 0.178E-03 0.475E-03 0.178E-03 0.261E+00 0.000E+00
  441 0.000E+00 0.000E+00 0.179E-03 0.439E-03 0.179E-03 0.261E+00 0.000E+00
  442 0.000E+00 0.000E+00 0.181E-03 0.405E-03 0.181E-03 0.261E+00 0.000E+00
  443 0.000E+00 0.000E+00 0.182E-03 0.374E-03 0.182E-03 0.261E+00 0.000E+00
  444 0.500E-03 0.000E+00 0.183E-03 0.370E-03 0.183E-03 0.261E+00 0.000E+00
  445 0.000E+00 0.000E+00 0.184E-03 0.341E-03 0.184E-03 0.260E+00 0.000E+00
  446 0.000E+00 0.000E+00 0.185E-03 0.315E-03 0.185E-03 0.260E+00 0.000E+00
  447 0.000E+00 0.000E+00 0.186E-03 0.291E-03 0.186E-03 0.260E+00 0.000E+00
  448 0.000E+00 0.000E+00 0.186E-03 0.268E-03 0.186E-03 0.260E+00 0.000E+00
  449 0.000E+00 0.000E+00 0.187E-03 0.248E-03 0.187E-03 0.260E+00 0.000E+00
  450 0.000E+00 0.000E+00 0.187E-03 0.228E-03 0.187E-03 0.260E+00 0.000E+00
  451 0.000E+00 0.000E+00 0.187E-03 0.211E-03 0.187E-03 0.260E+00 0.000E+00
  452 0.500E-03 0.000E+00 0.188E-03 0.233E-03 0.188E-03 0.260E+00 0.000E+00
  453 0.000E+00 0.224E-04 0.188E-03 0.215E-03 0.188E-03 0.260E+00 0.000E+00
  454 0.000E+00 0.433E-04 0.188E-03 0.199E-03 0.188E-03 0.260E+00 0.000E+00
  455 0.000E+00 0.612E-04 0.188E-03 0.183E-03 0.188E-03 0.260E+00 0.000E+00
  456 0.000E+00 0.750E-04 0.188E-03 0.169E-03 0.188E-03 0.260E+00 0.000E+00
  457 0.000E+00 0.830E-04 0.188E-03 0.156E-03 0.188E-03 0.260E+00 0.000E+00
  458 0.000E+00 0.866E-04 0.188E-03 0.144E-03 0.188E-03 0.260E+00 0.000E+00
  459 0.000E+00 0.830E-04 0.188E-03 0.133E-03 0.188E-03 0.260E+00 0.000E+00
  460 0.000E+00 0.750E-04 0.187E-03 0.123E-03 0.187E-03 0.260E+00 0.000E+00
  461 0.000E+00 0.612E-04 0.187E-03 0.113E-03 0.187E-03 0.260E+00 0.000E+00
  462 0.000E+00 0.433E-04 0.186E-03 0.105E-03 0.186E-03 0.260E+00 0.000E+00
  463 0.000E+00 0.210E-04 0.186E-03 0.965E-04 0.186E-03 0.260E+00 0.000E+00
  464 0.000E+00 0.000E+00 0.185E-03 0.891E-04 0.185E-03 0.261E+00 0.000E+00
  465 0.100E-02 0.000E+00 0.185E-03 0.109E-03 0.185E-03 0.261E+00 0.000E+00
  466 0.500E-03 0.000E+00 0.184E-03 0.140E-03 0.184E-03 0.261E+00 0.000E+00
  467 0.000E+00 0.000E+00 0.184E-03 0.129E-03 0.184E-03 0.261E+00 0.000E+00
  468 0.000E+00 0.000E+00 0.184E-03 0.119E-03 0.184E-03 0.261E+00 0.000E+00
  469 0.500E-03 0.000E+00 0.183E-03 0.149E-03 0.183E-03 0.261E+00 0.000E+00
  470 0.000E+00 0.000E+00 0.183E-03 0.137E-03 0.183E-03 0.261E+00 0.000E+00
  471 0.000E+00 0.000E+00 0.183E-03 0.126E-03 0.183E-03 0.261E+00 0.000E+00
  472 0.500E-03 0.000E+00 0.183E-03 0.156E-03 0.183E-03 0.261E+00 0.000E+00
  473 0.500E-03 0.000E+00 0.183E-03 0.182E-03 0.183E-03 0.261E+00 0.000E+00
  474 0.000E+00 0.000E+00 0.183E-03 0.168E-03 0.183E-03 0.261E+00 0.000E+00
  475 0.000E+00 0.000E+00 0.182E-03 0.155E-03 0.182E-03 0.261E+00 0.000E+00
  476 0.000E+00 0.000E+00 0.182E-03 0.143E-03 0.182E-03 0.261E+00 0.000E+00
  477 0.000E+00 0.920E-05 0.182E-03 0.132E-03 0.182E-03 0.261E+00 0.000E+00
  478 0.000E+00 0.178E-04 0.182E-03 0.122E-03 0.182E-03 0.261E+00 0.000E+00
  479 0.000E+00 0.252E-04 0.181E-03 0.112E-03 0.181E-03 0.261E+00 0.000E+00
  480 0.000E+00 0.309E-04 0.181E-03 0.104E-03 0.181E-03 0.261E+00 0.000E+00
  481 0.000E+00 0.342E-04 0.181E-03 0.956E-04 0.181E-03 0.261E+00 0.000E+00
  482 0.500E-03 0.357E-04 0.180E-03 0.118E-03 0.180E-03 0.261E+00 0.000E+00
  483 0.250E-02 0.342E-04 0.180E-03 0.300E-03 0.180E-03 0.261E+00 0.000E+00
  484 0.100E-02 0.309E-04 0.180E-03 0.351E-03 0.180E-03 0.261E+00 0.000E+00
  485 0.000E+00 0.252E-04 0.181E-03 0.324E-03 0.181E-03 0.261E+00 0.000E+00
  486 0.100E-02 0.178E-04 0.182E-03 0.372E-03 0.182E-03 0.261E+00 0.000E+00
  487 0.000E+00 0.860E-05 0.183E-03 0.343E-03 0.183E-03 0.261E+00 0.000E+00
  488 0.000E+00 0.000E+00 0.184E-03 0.317E-03 0.184E-03 0.260E+00 0.000E+00
  489 0.000E+00 0.000E+00 0.185E-03 0.292E-03 0.185E-03 0.260E+00 0.000E+00
  490 0.000E+00 0.000E+00 0.186E-03 0.270E-03 0.186E-03 0.260E+00 0.000E+00
  491 0.000E+00 0.000E+00 0.186E-03 0.249E-03 0.186E-03 0.260E+00 0.000E+00
  492 0.000E+00 0.000E+00 0.186E-03 0.229E-03 0.186E-03 0.260E+00 0.000E+00
  493 0.000E+00 0.000E+00 0.187E-03 0.211E-03 0.187E-03 0.260E+00 0.000E+00
  494 0.000E+00 0.000E+00 0.187E-03 0.195E-03 0.187E-03 0.260E+00 0.000E+00
  495 0.000E+00 0.000E+00 0.187E-03 0.180E-03 0.187E-03 0.260E+00 0.000E+00
  496 0.000E+00 0.000E+00 0.187E-03 0.166E-03 0.187E-03 0.260E+00 0.000E+00
  497 0.000E+00 0.000E+00 0.187E-03 0.153E-03 0.187E-03 0.260E+00 0.000E+00
  498 0.000E+00 0.000E+00 0.187E-03 0.141E-03 0.187E-03 0.260E+00 0.000E+00
  499 0.000E+00 0.000E+00 0.186E-03 0.130E-03 0.186E-03 0.260E+00 0.000E+00
  500 0.000E+00 0.000E+00 0.186E-03 0.120E-03 0.186E-03 0.260E+00 0.000E+00
  501 0.000E+00 0.638E-04 0.186E-03 0.111E-03 0.186E-03 0.260E+00 0.000E+00
  502 0.000E+00 0.123E-03 0.185E-03 0.102E-03 0.185E-03 0.261E+00 0.000E+00
  503 0.000E+00 0.174E-03 0.185E-03 0.944E-04 0.185E-03 0.261E+00 0.000E+00
