 Taegu Pyungkwang River Catchment:  Calibration Data                             
 Starting Subcatchment     1
 Subcatchment : Extracted study basin: Taegu Pyungkwang River                                   
 TL =     5.45
SUMAC =     1.00
 SZQ   0.63446E+00
 SUBCATCHMENT ROUTING DATA
 Maximum Routing Delay   0.41667E+00
 Sum of histogram ordinates      1.0000
  0.10000E+01
 Initial Balance BAL -0.31784E+00
 Initial SBAR         0.31584E+00
 Initial SR0          0.20000E-02
   it       p        ep       q(it)       quz      q       sbar       qof
   57 0.100E-02 0.000E+00 0.728E-04 0.115E-02 0.728E-04 0.289E+00 0.000E+00
   58 0.100E-02 0.000E+00 0.753E-04 0.114E-02 0.753E-04 0.288E+00 0.000E+00
   59 0.000E+00 0.000E+00 0.779E-04 0.107E-02 0.779E-04 0.287E+00 0.000E+00
   60 0.500E-03 0.000E+00 0.803E-04 0.103E-02 0.803E-04 0.286E+00 0.000E+00
   61 0.500E-03 0.000E+00 0.828E-04 0.997E-03 0.828E-04 0.285E+00 0.000E+00
   62 0.000E+00 0.000E+00 0.852E-04 0.930E-03 0.852E-04 0.284E+00 0.000E+00
   63 0.000E+00 0.000E+00 0.874E-04 0.866E-03 0.874E-04 0.284E+00 0.000E+00
   64 0.000E+00 0.000E+00 0.896E-04 0.807E-03 0.896E-04 0.283E+00 0.000E+00
   65 0.000E+00 0.000E+00 0.916E-04 0.751E-03 0.916E-04 0.282E+00 0.000E+00
   66 0.000E+00 0.000E+00 0.935E-04 0.699E-03 0.935E-04 0.282E+00 0.000E+00
   67 0.000E+00 0.000E+00 0.953E-04 0.651E-03 0.953E-04 0.281E+00 0.000E+00
   68 0.000E+00 0.000E+00 0.970E-04 0.605E-03 0.970E-04 0.281E+00 0.000E+00
   69 0.000E+00 0.414E-04 0.985E-04 0.563E-03 0.985E-04 0.280E+00 0.000E+00
   70 0.000E+00 0.798E-04 0.100E-03 0.524E-03 0.100E-03 0.280E+00 0.000E+00
   71 0.000E+00 0.113E-03 0.101E-03 0.487E-03 0.101E-03 0.279E+00 0.000E+00
   72 0.000E+00 0.138E-03 0.103E-03 0.452E-03 0.103E-03 0.279E+00 0.000E+00
   73 0.000E+00 0.153E-03 0.104E-03 0.420E-03 0.104E-03 0.279E+00 0.000E+00
   74 0.000E+00 0.160E-03 0.105E-03 0.391E-03 0.105E-03 0.278E+00 0.000E+00
   75 0.000E+00 0.153E-03 0.106E-03 0.363E-03 0.106E-03 0.278E+00 0.000E+00
   76 0.000E+00 0.138E-03 0.106E-03 0.337E-03 0.106E-03 0.278E+00 0.000E+00
   77 0.000E+00 0.113E-03 0.107E-03 0.313E-03 0.107E-03 0.278E+00 0.000E+00
   78 0.000E+00 0.798E-04 0.108E-03 0.291E-03 0.108E-03 0.278E+00 0.000E+00
   79 0.000E+00 0.387E-04 0.109E-03 0.270E-03 0.109E-03 0.277E+00 0.000E+00
   80 0.000E+00 0.000E+00 0.109E-03 0.251E-03 0.109E-03 0.277E+00 0.000E+00
   81 0.000E+00 0.000E+00 0.110E-03 0.233E-03 0.110E-03 0.277E+00 0.000E+00
   82 0.000E+00 0.000E+00 0.110E-03 0.216E-03 0.110E-03 0.277E+00 0.000E+00
   83 0.000E+00 0.000E+00 0.110E-03 0.201E-03 0.110E-03 0.277E+00 0.000E+00
   84 0.000E+00 0.000E+00 0.111E-03 0.186E-03 0.111E-03 0.277E+00 0.000E+00
   85 0.000E+00 0.000E+00 0.111E-03 0.173E-03 0.111E-03 0.277E+00 0.000E+00
   86 0.000E+00 0.000E+00 0.111E-03 0.161E-03 0.111E-03 0.277E+00 0.000E+00
   87 0.000E+00 0.000E+00 0.111E-03 0.149E-03 0.111E-03 0.277E+00 0.000E+00
   88 0.000E+00 0.000E+00 0.111E-03 0.138E-03 0.111E-03 0.277E+00 0.000E+00
   89 0.000E+00 0.000E+00 0.112E-03 0.129E-03 0.112E-03 0.277E+00 0.000E+00
   90 0.000E+00 0.000E+00 0.112E-03 0.119E-03 0.112E-03 0.277E+00 0.000E+00
   91 0.000E+00 0.000E+00 0.112E-03 0.111E-03 0.112E-03 0.277E+00 0.000E+00
   92 0.000E+00 0.000E+00 0.112E-03 0.103E-03 0.112E-03 0.277E+00 0.000E+00
   93 0.000E+00 0.191E-04 0.112E-03 0.955E-04 0.112E-03 0.277E+00 0.000E+00
   94 0.000E+00 0.368E-04 0.112E-03 0.887E-04 0.112E-03 0.277E+00 0.000E+00
   95 0.000E+00 0.521E-04 0.111E-03 0.824E-04 0.111E-03 0.277E+00 0.000E+00
   96 0.000E+00 0.638E-04 0.111E-03 0.765E-04 0.111E-03 0.277E+00 0.000E+00
   97 0.500E-03 0.706E-04 0.111E-03 0.711E-04 0.111E-03 0.277E+00 0.000E+00
   98 0.500E-03 0.737E-04 0.111E-03 0.660E-04 0.111E-03 0.277E+00 0.000E+00
   99 0.000E+00 0.706E-04 0.111E-03 0.613E-04 0.111E-03 0.277E+00 0.000E+00
