Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-12039

TL =     6.77
SUMAC =     1.00
SZQ =       0.17093
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.27587
Initial SBAR             0.27387
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 2.7391e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 2.7394e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 2.7397e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 2.7400e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 3.8238e-05 6.0773e-05 3.2666e-05 2.7398e-01 5.5721e-06
6 5.0000e-04 3.2300e-05 3.6016e-05 8.8319e-05 3.2695e-05 2.7392e-01 3.3210e-06
7 5.0000e-04 1.5600e-05 3.6171e-05 1.1514e-04 3.2752e-05 2.7384e-01 3.4190e-06
8 0.0000e+00 0.0000e+00 3.2836e-05 1.0218e-04 3.2836e-05 2.7377e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 3.6448e-05 1.3103e-04 3.2907e-05 2.7367e-01 3.5411e-06
10 5.0000e-04 0.0000e+00 3.6663e-05 1.5693e-04 3.3008e-05 2.7355e-01 3.6551e-06
11 0.0000e+00 0.0000e+00 3.3136e-05 1.4034e-04 3.3136e-05 2.7344e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3248e-05 1.2728e-04 3.3248e-05 2.7335e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 4.0656e-05 1.9585e-04 3.3345e-05 2.7318e-01 7.3102e-06
14 5.0000e-04 0.0000e+00 3.7170e-05 2.1426e-04 3.3515e-05 2.7300e-01 3.6551e-06
15 5.0000e-04 0.0000e+00 3.7360e-05 2.3248e-04 3.3705e-05 2.7280e-01 3.6551e-06
16 1.0000e-03 0.0000e+00 4.1225e-05 2.8938e-04 3.3915e-05 2.7255e-01 7.3102e-06
17 0.0000e+00 0.0000e+00 3.4187e-05 2.5886e-04 3.4187e-05 2.7232e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.4428e-05 2.3502e-04 3.4428e-05 2.7212e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.4644e-05 2.1406e-04 3.4644e-05 2.7194e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.4839e-05 1.9533e-04 3.4839e-05 2.7178e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.5014e-05 1.7849e-04 3.5014e-05 2.7164e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.5172e-05 1.6327e-04 3.5172e-05 2.7151e-01 0.0000e+00
23 0.0000e+00 4.9200e-05 3.5313e-05 1.4947e-04 3.5313e-05 2.7140e-01 0.0000e+00
24 3.0000e-03 6.0200e-05 5.6624e-05 3.7143e-04 3.5439e-05 2.7106e-01 2.1186e-05
25 2.0000e-03 6.6600e-05 4.9993e-05 4.8321e-04 3.5813e-05 2.7061e-01 1.4180e-05
26 5.5000e-03 6.9600e-05 7.6036e-05 8.7117e-04 3.6317e-05 2.6978e-01 3.9719e-05
