Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-13759

TL =     8.36
SUMAC =     1.00
SZQ =       0.03479
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.22493
Initial SBAR             0.22293
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 2.2297e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 2.2300e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 2.2303e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 2.2306e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 4.4552e-05 7.8905e-05 3.2666e-05 2.2302e-01 1.1886e-05
6 5.0000e-04 3.2300e-05 3.9797e-05 1.1020e-04 3.2713e-05 2.2294e-01 7.0840e-06
7 5.0000e-04 1.5600e-05 4.0086e-05 1.4197e-04 3.2793e-05 2.2283e-01 7.2930e-06
8 0.0000e+00 0.0000e+00 3.2905e-05 1.2208e-04 3.2905e-05 2.2274e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 4.0550e-05 1.5934e-04 3.2996e-05 2.2262e-01 7.5534e-06
10 5.0000e-04 0.0000e+00 4.0924e-05 1.9019e-04 3.3127e-05 2.2246e-01 7.7966e-06
11 0.0000e+00 0.0000e+00 3.3290e-05 1.6552e-04 3.3290e-05 2.2233e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3428e-05 1.4851e-04 3.3428e-05 2.2221e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 4.9141e-05 2.3809e-04 3.3548e-05 2.2201e-01 1.5593e-05
14 5.0000e-04 0.0000e+00 4.1560e-05 2.5630e-04 3.3763e-05 2.2178e-01 7.7966e-06
15 5.0000e-04 0.0000e+00 4.1796e-05 2.7702e-04 3.3999e-05 2.2154e-01 7.7966e-06
16 1.0000e-03 0.0000e+00 4.9851e-05 3.4844e-04 3.4258e-05 2.2123e-01 1.5593e-05
17 0.0000e+00 0.0000e+00 3.4596e-05 3.0259e-04 3.4596e-05 2.2096e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.4887e-05 2.7194e-04 3.4887e-05 2.2072e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.5147e-05 2.4539e-04 3.5147e-05 2.2051e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.5378e-05 2.2191e-04 3.5378e-05 2.2033e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.5585e-05 2.0099e-04 3.5585e-05 2.2016e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.5769e-05 1.8226e-04 3.5769e-05 2.2001e-01 0.0000e+00
23 0.0000e+00 4.9200e-05 3.5934e-05 1.6545e-04 3.5934e-05 2.1988e-01 0.0000e+00
24 3.0000e-03 6.0200e-05 8.8825e-05 4.5063e-04 3.6079e-05 2.1947e-01 5.2746e-05
25 2.0000e-03 6.6600e-05 7.1564e-05 5.8046e-04 3.6550e-05 2.1893e-01 3.5014e-05
26 5.5000e-03 6.9600e-05 1.4808e-04 1.0577e-03 3.7176e-05 2.1790e-01 1.1091e-04
27 6.0000e-03 6.6600e-05 1.6216e-04 1.5163e-03 3.8381e-05 2.1643e-01 1.2377e-04
28 1.0000e-03 6.0200e-05 5.9676e-05 1.4157e-03 4.0195e-05 2.1505e-01 1.9481e-05
29 2.5000e-03 4.9200e-05 9.2882e-05 1.5180e-03 4.1961e-05 2.1358e-01 5.0922e-05
30 0.0000e+00 3.4800e-05 4.3941e-05 1.3479e-03 4.3941e-05 2.1227e-01 0.0000e+00
31 0.0000e+00 1.6800e-05 4.5769e-05 1.2138e-03 4.5769e-05 2.1110e-01 0.0000e+00
32 1.0000e-03 0.0000e+00 6.6239e-05 1.1913e-03 4.7470e-05 2.0996e-01 1.8769e-05
33 5.0000e-04 0.0000e+00 5.9634e-05 1.1220e-03 4.9198e-05 2.0889e-01 1.0436e-05
34 0.0000e+00 0.0000e+00 5.0875e-05 1.0084e-03 5.0875e-05 2.0793e-01 0.0000e+00
35 0.0000e+00 0.0000e+00 5.2421e-05 9.1074e-04 5.2421e-05 2.0707e-01 0.0000e+00
36 0.0000e+00 0.0000e+00 5.3846e-05 8.2333e-04 5.3846e-05 2.0630e-01 0.0000e+00
37 0.0000e+00 0.0000e+00 5.5156e-05 7.4476e-04 5.5156e-05 2.0561e-01 0.0000e+00
38 0.0000e+00 0.0000e+00 5.6358e-05 6.7398e-04 5.6358e-05 2.0499e-01 0.0000e+00
39 0.0000e+00 0.0000e+00 5.7456e-05 6.1016e-04 5.7456e-05 2.0444e-01 0.0000e+00
40 0.0000e+00 0.0000e+00 5.8457e-05 5.5259e-04 5.8457e-05 2.0395e-01 0.0000e+00
41 0.0000e+00 0.0000e+00 5.9367e-05 5.0063e-04 5.9367e-05 2.0351e-01 0.0000e+00
42 0.0000e+00 0.0000e+00 6.0191e-05 4.5371e-04 6.0191e-05 2.0311e-01 0.0000e+00
43 0.0000e+00 0.0000e+00 6.0936e-05 4.1133e-04 6.0936e-05 2.0276e-01 0.0000e+00
44 0.0000e+00 0.0000e+00 6.1607e-05 3.7304e-04 6.1607e-05 2.0245e-01 0.0000e+00
45 0.0000e+00 3.3800e-05 6.2209e-05 3.3844e-04 6.2209e-05 2.0217e-01 0.0000e+00
46 1.0000e-03 6.5200e-05 8.2914e-05 4.1725e-04 6.2749e-05 2.0182e-01 2.0166e-05
47 0.0000e+00 9.2300e-05 6.3448e-05 3.6488e-04 6.3448e-05 2.0152e-01 0.0000e+00
48 5.0000e-04 1.1300e-04 7.1199e-05 3.6839e-04 6.4048e-05 2.0121e-01 7.1509e-06
49 0.0000e+00 1.2500e-04 6.4660e-05 3.2804e-04 6.4660e-05 2.0095e-01 0.0000e+00
50 1.0000e-03 1.3050e-04 8.0855e-05 3.8333e-04 6.5194e-05 2.0063e-01 1.5661e-05
51 2.5000e-03 1.2500e-04 1.2495e-04 5.9556e-04 6.5846e-05 2.0010e-01 5.9102e-05
52 3.0000e-03 1.1300e-04 1.4143e-04 8.2791e-04 6.6945e-05 1.9934e-01 7.4484e-05
53 2.5000e-03 9.2300e-05 1.3040e-04 9.8059e-04 6.8556e-05 1.9843e-01 6.1841e-05
54 3.0000e-03 6.5200e-05 1.4587e-04 1.1779e-03 7.0538e-05 1.9732e-01 7.5331e-05
55 2.5000e-03 3.1600e-05 1.3610e-04 1.3002e-03 7.3022e-05 1.9610e-01 6.3080e-05
56 2.0000e-03 0.0000e+00 1.2687e-04 1.3622e-03 7.5876e-05 1.9481e-01 5.0996e-05
57 1.0000e-03 0.0000e+00 1.0490e-04 1.3136e-03 7.8989e-05 1.9357e-01 2.5907e-05
58 1.0000e-03 0.0000e+00 1.0800e-04 1.2781e-03 8.2096e-05 1.9238e-01 2.5907e-05
59 0.0000e+00 0.0000e+00 8.5222e-05 1.1336e-03 8.5222e-05 1.9133e-01 0.0000e+00
60 5.0000e-04 0.0000e+00 1.0101e-04 1.0702e-03 8.8060e-05 1.9035e-01 1.2954e-05
61 5.0000e-04 0.0000e+00 1.0376e-04 1.0110e-03 9.0805e-05 1.8943e-01 1.2954e-05
62 0.0000e+00 0.0000e+00 9.3454e-05 8.9992e-04 9.3454e-05 1.8862e-01 0.0000e+00
63 0.0000e+00 0.0000e+00 9.5839e-05 8.0504e-04 9.5839e-05 1.8791e-01 0.0000e+00
64 0.0000e+00 0.0000e+00 9.7987e-05 7.2101e-04 9.7987e-05 1.8729e-01 0.0000e+00
65 0.0000e+00 0.0000e+00 9.9913e-05 6.4630e-04 9.9913e-05 1.8674e-01 0.0000e+00
66 0.0000e+00 0.0000e+00 1.0163e-04 5.7976e-04 1.0163e-04 1.8626e-01 0.0000e+00
67 0.0000e+00 0.0000e+00 1.0316e-04 5.2041e-04 1.0316e-04 1.8585e-01 0.0000e+00
68 0.0000e+00 0.0000e+00 1.0452e-04 4.6743e-04 1.0452e-04 1.8548e-01 0.0000e+00
69 0.0000e+00 4.1400e-05 1.0571e-04 4.2009e-04 1.0571e-04 1.8517e-01 0.0000e+00
70 0.0000e+00 7.9800e-05 1.0675e-04 3.7776e-04 1.0675e-04 1.8490e-01 0.0000e+00
71 0.0000e+00 1.1290e-04 1.0766e-04 3.3989e-04 1.0766e-04 1.8467e-01 0.0000e+00
72 0.0000e+00 1.3830e-04 1.0845e-04 3.0597e-04 1.0845e-04 1.8447e-01 0.0000e+00
73 0.0000e+00 1.5300e-04 1.0912e-04 2.7558e-04 1.0912e-04 1.8430e-01 0.0000e+00
74 0.0000e+00 1.5980e-04 1.0969e-04 2.4834e-04 1.0969e-04 1.8416e-01 0.0000e+00
75 0.0000e+00 1.5300e-04 1.1016e-04 2.2390e-04 1.1016e-04 1.8405e-01 0.0000e+00
76 0.0000e+00 1.3830e-04 1.1055e-04 2.0196e-04 1.1055e-04 1.8396e-01 0.0000e+00
77 0.0000e+00 1.1290e-04 1.1087e-04 1.8226e-04 1.1087e-04 1.8389e-01 0.0000e+00
78 0.0000e+00 7.9800e-05 1.1112e-04 1.6455e-04 1.1112e-04 1.8383e-01 0.0000e+00
79 0.0000e+00 3.8700e-05 1.1130e-04 1.4864e-04 1.1130e-04 1.8380e-01 0.0000e+00
80 0.0000e+00 0.0000e+00 1.1143e-04 1.3432e-04 1.1143e-04 1.8377e-01 0.0000e+00
81 0.0000e+00 0.0000e+00 1.1151e-04 1.2143e-04 1.1151e-04 1.8376e-01 0.0000e+00
82 0.0000e+00 0.0000e+00 1.1155e-04 1.0982e-04 1.1155e-04 1.8377e-01 0.0000e+00
83 0.0000e+00 0.0000e+00 1.1154e-04 9.9367e-05 1.1154e-04 1.8378e-01 0.0000e+00
84 0.0000e+00 0.0000e+00 1.1150e-04 8.9942e-05 1.1150e-04 1.8380e-01 0.0000e+00
85 0.0000e+00 0.0000e+00 1.1143e-04 8.1443e-05 1.1143e-04 1.8383e-01 0.0000e+00
86 0.0000e+00 0.0000e+00 1.1132e-04 7.3776e-05 1.1132e-04 1.8387e-01 0.0000e+00
87 0.0000e+00 0.0000e+00 1.1119e-04 6.6855e-05 1.1119e-04 1.8391e-01 0.0000e+00
88 0.0000e+00 0.0000e+00 1.1104e-04 6.0606e-05 1.1104e-04 1.8396e-01 0.0000e+00
89 0.0000e+00 0.0000e+00 1.1086e-04 5.4960e-05 1.1086e-04 1.8402e-01 0.0000e+00
90 0.0000e+00 0.0000e+00 1.1067e-04 4.9858e-05 1.1067e-04 1.8408e-01 0.0000e+00
91 0.0000e+00 0.0000e+00 1.1046e-04 4.5245e-05 1.1046e-04 1.8414e-01 0.0000e+00
92 0.0000e+00 0.0000e+00 1.1023e-04 4.1072e-05 1.1023e-04 1.8421e-01 0.0000e+00
93 0.0000e+00 1.9100e-05 1.1000e-04 3.7297e-05 1.1000e-04 1.8429e-01 0.0000e+00
94 0.0000e+00 3.6800e-05 1.0975e-04 3.3879e-05 1.0975e-04 1.8436e-01 0.0000e+00
95 0.0000e+00 5.2100e-05 1.0949e-04 3.0784e-05 1.0949e-04 1.8444e-01 0.0000e+00
96 0.0000e+00 6.3800e-05 1.0922e-04 2.7980e-05 1.0922e-04 1.8452e-01 0.0000e+00
97 5.0000e-04 7.0600e-05 1.0894e-04 2.5440e-05 1.0894e-04 1.8460e-01 0.0000e+00
98 5.0000e-04 7.3700e-05 1.0866e-04 2.3137e-05 1.0866e-04 1.8469e-01 0.0000e+00
99 0.0000e+00 7.0600e-05 1.0837e-04 2.1048e-05 1.0837e-04 1.8478e-01 0.0000e+00
100 0.0000e+00 6.3800e-05 1.0807e-04 1.9154e-05 1.0807e-04 1.8487e-01 0.0000e+00
101 0.0000e+00 5.2100e-05 1.0777e-04 1.7435e-05 1.0777e-04 1.8496e-01 0.0000e+00
102 0.0000e+00 3.6800e-05 1.0747e-04 1.5874e-05 1.0747e-04 1.8505e-01 0.0000e+00
103 0.0000e+00 1.7800e-05 1.0716e-04 1.4457e-05 1.0716e-04 1.8514e-01 0.0000e+00
104 0.0000e+00 0.0000e+00 1.0685e-04 1.3170e-05 1.0685e-04 1.8523e-01 0.0000e+00
105 0.0000e+00 0.0000e+00 1.0654e-04 1.2001e-05 1.0654e-04 1.8533e-01 0.0000e+00
106 0.0000e+00 0.0000e+00 1.0622e-04 1.0938e-05 1.0622e-04 1.8542e-01 0.0000e+00
107 0.0000e+00 0.0000e+00 1.0591e-04 9.9713e-06 1.0591e-04 1.8552e-01 0.0000e+00
108 0.0000e+00 0.0000e+00 1.0559e-04 9.0928e-06 1.0559e-04 1.8562e-01 0.0000e+00
109 0.0000e+00 0.0000e+00 1.0527e-04 8.2937e-06 1.0527e-04 1.8571e-01 0.0000e+00
110 0.0000e+00 0.0000e+00 1.0495e-04 7.5666e-06 1.0495e-04 1.8581e-01 0.0000e+00
111 5.0000e-04 0.0000e+00 1.0463e-04 6.9048e-06 1.0463e-04 1.8591e-01 0.0000e+00
112 0.0000e+00 0.0000e+00 1.0432e-04 6.3023e-06 1.0432e-04 1.8601e-01 0.0000e+00
113 0.0000e+00 0.0000e+00 1.0400e-04 5.7536e-06 1.0400e-04 1.8611e-01 0.0000e+00
114 0.0000e+00 0.0000e+00 1.0368e-04 5.2539e-06 1.0368e-04 1.8620e-01 0.0000e+00
115 0.0000e+00 0.0000e+00 1.0336e-04 4.7987e-06 1.0336e-04 1.8630e-01 0.0000e+00
116 0.0000e+00 0.0000e+00 1.0304e-04 4.3838e-06 1.0304e-04 1.8640e-01 0.0000e+00
117 0.0000e+00 1.0200e-05 1.0272e-04 4.0056e-06 1.0272e-04 1.8650e-01 0.0000e+00
118 0.0000e+00 1.9800e-05 1.0241e-04 3.6601e-06 1.0241e-04 1.8660e-01 0.0000e+00
119 0.0000e+00 2.8000e-05 1.0209e-04 3.3458e-06 1.0209e-04 1.8670e-01 0.0000e+00
120 0.0000e+00 3.4200e-05 1.0178e-04 3.0591e-06 1.0178e-04 1.8680e-01 0.0000e+00
121 0.0000e+00 3.7900e-05 1.0146e-04 2.7974e-06 1.0146e-04 1.8689e-01 0.0000e+00
122 0.0000e+00 3.9500e-05 1.0115e-04 2.5587e-06 1.0115e-04 1.8699e-01 0.0000e+00
123 0.0000e+00 3.7900e-05 1.0084e-04 2.3408e-06 1.0084e-04 1.8709e-01 0.0000e+00
124 0.0000e+00 3.4200e-05 1.0053e-04 2.1418e-06 1.0053e-04 1.8719e-01 0.0000e+00
125 0.0000e+00 2.8000e-05 1.0022e-04 1.9601e-06 1.0022e-04 1.8729e-01 0.0000e+00
126 0.0000e+00 1.9800e-05 9.9915e-05 1.7941e-06 9.9915e-05 1.8739e-01 0.0000e+00
127 0.0000e+00 9.6000e-06 9.9609e-05 1.6425e-06 9.9609e-05 1.8748e-01 0.0000e+00
128 0.0000e+00 0.0000e+00 9.9305e-05 1.5040e-06 9.9305e-05 1.8758e-01 0.0000e+00
129 0.0000e+00 0.0000e+00 9.9002e-05 1.3766e-06 9.9002e-05 1.8768e-01 0.0000e+00
