Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-12229

TL =     5.12
SUMAC =     1.00
SZQ =       0.88729
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.32858
Initial SBAR             0.32658
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 3.2661e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 3.2664e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 3.2667e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 3.2671e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 3.4627e-05 4.6662e-05 3.2666e-05 3.2669e-01 1.9612e-06
6 5.0000e-04 3.2300e-05 3.3849e-05 6.7552e-05 3.2680e-05 3.2666e-01 1.1689e-06
7 5.0000e-04 1.5600e-05 3.3919e-05 8.7724e-05 3.2716e-05 3.2660e-01 1.2034e-06
8 0.0000e+00 0.0000e+00 3.2772e-05 7.7178e-05 3.2772e-05 3.2656e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 3.4064e-05 9.8744e-05 3.2818e-05 3.2649e-01 1.2464e-06
10 5.0000e-04 0.0000e+00 3.4172e-05 1.1794e-04 3.2885e-05 3.2641e-01 1.2865e-06
11 0.0000e+00 0.0000e+00 3.2973e-05 1.0443e-04 3.2973e-05 3.2634e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3047e-05 9.3734e-05 3.3047e-05 3.2628e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 3.5682e-05 1.4574e-04 3.3109e-05 3.2616e-01 2.5730e-06
14 5.0000e-04 0.0000e+00 3.4513e-05 1.5903e-04 3.3226e-05 3.2604e-01 1.2865e-06
15 5.0000e-04 0.0000e+00 3.4643e-05 1.7214e-04 3.3357e-05 3.2590e-01 1.2865e-06
16 1.0000e-03 0.0000e+00 3.6075e-05 2.1479e-04 3.3502e-05 3.2572e-01 2.5730e-06
17 0.0000e+00 0.0000e+00 3.3692e-05 1.9021e-04 3.3692e-05 3.2556e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.3858e-05 1.7092e-04 3.3858e-05 3.2542e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.4003e-05 1.5395e-04 3.4003e-05 3.2530e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.4131e-05 1.3891e-04 3.4131e-05 3.2520e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.4242e-05 1.2552e-04 3.4242e-05 3.2511e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.4340e-05 1.1356e-04 3.4340e-05 3.2503e-01 0.0000e+00
23 0.0000e+00 4.9200e-05 3.4425e-05 1.0284e-04 3.4425e-05 3.2496e-01 0.0000e+00
24 3.0000e-03 6.0200e-05 4.1956e-05 2.7245e-04 3.4499e-05 3.2472e-01 7.4567e-06
25 2.0000e-03 6.6600e-05 3.9748e-05 3.5711e-04 3.4757e-05 3.2440e-01 4.9911e-06
26 5.5000e-03 6.9600e-05 5.1516e-05 6.4971e-04 3.5108e-05 3.2378e-01 1.6407e-05
