Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-1139

TL =    10.05
SUMAC =     1.00
SZQ =       0.00639
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.17073
Initial SBAR             0.16873
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
52 3.0000e-03 1.1300e-04 1.3087e-04 9.8466e-04 6.9767e-05 1.4366e-01 6.1106e-05
53 2.5000e-03 9.2300e-05 1.2252e-04 1.1793e-03 7.1790e-05 1.4256e-01 5.0734e-05
54 3.0000e-03 6.5200e-05 1.3612e-04 1.4320e-03 7.4318e-05 1.4120e-01 6.1801e-05
55 2.5000e-03 3.1600e-05 1.2929e-04 1.5698e-03 7.7539e-05 1.3971e-01 5.1750e-05
56 2.0000e-03 0.0000e+00 1.2308e-04 1.6174e-03 8.1241e-05 1.3817e-01 4.1837e-05
57 1.0000e-03 0.0000e+00 1.0649e-04 1.5042e-03 8.5236e-05 1.3675e-01 2.1254e-05
58 1.0000e-03 0.0000e+00 1.1035e-04 1.4225e-03 8.9101e-05 1.3542e-01 2.1254e-05
59 0.0000e+00 0.0000e+00 9.2892e-05 1.1849e-03 9.2892e-05 1.3433e-01 0.0000e+00
60 5.0000e-04 0.0000e+00 1.0674e-04 1.0889e-03 9.6116e-05 1.3333e-01 1.0627e-05
61 5.0000e-04 0.0000e+00 1.0977e-04 1.0037e-03 9.9145e-05 1.3243e-01 1.0627e-05
62 0.0000e+00 0.0000e+00 1.0199e-04 8.4168e-04 1.0199e-04 1.3169e-01 0.0000e+00
63 0.0000e+00 0.0000e+00 1.0437e-04 7.1545e-04 1.0437e-04 1.3108e-01 0.0000e+00
64 0.0000e+00 0.0000e+00 1.0639e-04 6.1053e-04 1.0639e-04 1.3057e-01 0.0000e+00
65 0.0000e+00 0.0000e+00 1.0807e-04 5.2267e-04 1.0807e-04 1.3016e-01 0.0000e+00
66 0.0000e+00 0.0000e+00 1.0948e-04 4.4868e-04 1.0948e-04 1.2982e-01 0.0000e+00
67 0.0000e+00 0.0000e+00 1.1065e-04 3.8607e-04 1.1065e-04 1.2954e-01 0.0000e+00
68 0.0000e+00 0.0000e+00 1.1161e-04 3.3290e-04 1.1161e-04 1.2932e-01 0.0000e+00
69 0.0000e+00 4.1400e-05 1.1238e-04 2.8761e-04 1.1238e-04 1.2915e-01 0.0000e+00
70 0.0000e+00 7.9800e-05 1.1300e-04 2.4891e-04 1.1300e-04 1.2901e-01 0.0000e+00
71 0.0000e+00 1.1290e-04 1.1348e-04 2.1577e-04 1.1348e-04 1.2891e-01 0.0000e+00
72 0.0000e+00 1.3830e-04 1.1384e-04 1.8734e-04 1.1384e-04 1.2884e-01 0.0000e+00
73 0.0000e+00 1.5300e-04 1.1410e-04 1.6288e-04 1.1410e-04 1.2879e-01 0.0000e+00
74 0.0000e+00 1.5980e-04 1.1428e-04 1.4182e-04 1.1428e-04 1.2876e-01 0.0000e+00
75 0.0000e+00 1.5300e-04 1.1438e-04 1.2364e-04 1.1438e-04 1.2875e-01 0.0000e+00
76 0.0000e+00 1.3830e-04 1.1441e-04 1.0792e-04 1.1441e-04 1.2876e-01 0.0000e+00
77 0.0000e+00 1.1290e-04 1.1439e-04 9.4310e-05 1.1439e-04 1.2878e-01 0.0000e+00
78 0.0000e+00 7.9800e-05 1.1432e-04 8.2509e-05 1.1432e-04 1.2881e-01 0.0000e+00
79 0.0000e+00 3.8700e-05 1.1420e-04 7.2262e-05 1.1420e-04 1.2885e-01 0.0000e+00
80 0.0000e+00 0.0000e+00 1.1405e-04 6.3352e-05 1.1405e-04 1.2890e-01 0.0000e+00
81 0.0000e+00 0.0000e+00 1.1387e-04 5.5595e-05 1.1387e-04 1.2896e-01 0.0000e+00
82 0.0000e+00 0.0000e+00 1.1366e-04 4.8833e-05 1.1366e-04 1.2902e-01 0.0000e+00
83 0.0000e+00 0.0000e+00 1.1343e-04 4.2932e-05 1.1343e-04 1.2909e-01 0.0000e+00
84 0.0000e+00 0.0000e+00 1.1318e-04 3.7777e-05 1.1318e-04 1.2917e-01 0.0000e+00
85 0.0000e+00 0.0000e+00 1.1292e-04 3.3269e-05 1.1292e-04 1.2925e-01 0.0000e+00
86 0.0000e+00 0.0000e+00 1.1264e-04 2.9322e-05 1.1264e-04 1.2933e-01 0.0000e+00
87 0.0000e+00 0.0000e+00 1.1234e-04 2.5863e-05 1.1234e-04 1.2942e-01 0.0000e+00
88 0.0000e+00 0.0000e+00 1.1204e-04 2.2829e-05 1.1204e-04 1.2951e-01 0.0000e+00
89 0.0000e+00 0.0000e+00 1.1173e-04 2.0166e-05 1.1173e-04 1.2960e-01 0.0000e+00
90 0.0000e+00 0.0000e+00 1.1141e-04 1.7825e-05 1.1141e-04 1.2969e-01 0.0000e+00
91 0.0000e+00 0.0000e+00 1.1108e-04 1.5767e-05 1.1108e-04 1.2979e-01 0.0000e+00
92 0.0000e+00 0.0000e+00 1.1075e-04 1.3956e-05 1.1075e-04 1.2989e-01 0.0000e+00
93 0.0000e+00 1.9100e-05 1.1042e-04 1.2360e-05 1.1042e-04 1.2998e-01 0.0000e+00
94 0.0000e+00 3.6800e-05 1.1008e-04 1.0953e-05 1.1008e-04 1.3008e-01 0.0000e+00
95 0.0000e+00 5.2100e-05 1.0974e-04 9.7122e-06 1.0974e-04 1.3018e-01 0.0000e+00
96 0.0000e+00 6.3800e-05 1.0940e-04 8.6173e-06 1.0940e-04 1.3028e-01 0.0000e+00
97 5.0000e-04 7.0600e-05 1.0906e-04 7.6501e-06 1.0906e-04 1.3039e-01 0.0000e+00
98 5.0000e-04 7.3700e-05 1.0871e-04 6.7951e-06 1.0871e-04 1.3049e-01 0.0000e+00
99 0.0000e+00 7.0600e-05 1.0836e-04 6.0388e-06 1.0836e-04 1.3059e-01 0.0000e+00
100 0.0000e+00 6.3800e-05 1.0802e-04 5.3695e-06 1.0802e-04 1.3069e-01 0.0000e+00
101 0.0000e+00 5.2100e-05 1.0767e-04 4.7768e-06 1.0767e-04 1.3079e-01 0.0000e+00
102 0.0000e+00 3.6800e-05 1.0733e-04 4.2516e-06 1.0733e-04 1.3090e-01 0.0000e+00
103 0.0000e+00 1.7800e-05 1.0698e-04 3.7859e-06 1.0698e-04 1.3100e-01 0.0000e+00
104 0.0000e+00 0.0000e+00 1.0664e-04 3.3728e-06 1.0664e-04 1.3110e-01 0.0000e+00
105 0.0000e+00 0.0000e+00 1.0629e-04 3.0045e-06 1.0629e-04 1.3121e-01 0.0000e+00
106 0.0000e+00 0.0000e+00 1.0595e-04 2.6793e-06 1.0595e-04 1.3131e-01 0.0000e+00
107 0.0000e+00 0.0000e+00 1.0561e-04 2.3903e-06 1.0561e-04 1.3141e-01 0.0000e+00
108 0.0000e+00 0.0000e+00 1.0527e-04 2.1334e-06 1.0527e-04 1.3152e-01 0.0000e+00
109 0.0000e+00 0.0000e+00 1.0493e-04 1.9048e-06 1.0493e-04 1.3162e-01 0.0000e+00
110 0.0000e+00 0.0000e+00 1.0459e-04 1.7015e-06 1.0459e-04 1.3172e-01 0.0000e+00
111 5.0000e-04 0.0000e+00 1.0426e-04 1.5204e-06 1.0426e-04 1.3183e-01 0.0000e+00
112 0.0000e+00 0.0000e+00 1.0392e-04 1.3591e-06 1.0392e-04 1.3193e-01 0.0000e+00
113 0.0000e+00 0.0000e+00 1.0359e-04 1.2155e-06 1.0359e-04 1.3203e-01 0.0000e+00
114 0.0000e+00 0.0000e+00 1.0326e-04 1.0874e-06 1.0326e-04 1.3213e-01 0.0000e+00
115 0.0000e+00 0.0000e+00 1.0293e-04 9.7313e-07 1.0293e-04 1.3224e-01 0.0000e+00
116 0.0000e+00 0.0000e+00 1.0260e-04 8.6940e-07 1.0260e-04 1.3234e-01 0.0000e+00
117 0.0000e+00 1.0200e-05 1.0228e-04 7.7876e-07 1.0228e-04 1.3244e-01 0.0000e+00
118 0.0000e+00 1.9800e-05 1.0195e-04 6.9780e-07 1.0195e-04 1.3254e-01 0.0000e+00
119 0.0000e+00 2.8000e-05 1.0163e-04 6.2546e-07 1.0163e-04 1.3264e-01 0.0000e+00
120 0.0000e+00 3.4200e-05 1.0131e-04 5.6080e-07 1.0131e-04 1.3274e-01 0.0000e+00
121 0.0000e+00 3.7900e-05 1.0099e-04 5.0299e-07 1.0099e-04 1.3284e-01 0.0000e+00
122 0.0000e+00 3.9500e-05 1.0068e-04 4.5128e-07 1.0068e-04 1.3294e-01 0.0000e+00
123 0.0000e+00 3.7900e-05 1.0036e-04 4.0502e-07 1.0036e-04 1.3304e-01 0.0000e+00
124 0.0000e+00 3.4200e-05 1.0005e-04 3.6361e-07 1.0005e-04 1.3314e-01 0.0000e+00
125 0.0000e+00 2.8000e-05 9.9737e-05 3.2653e-07 9.9737e-05 1.3324e-01 0.0000e+00
126 0.0000e+00 1.9800e-05 9.9428e-05 2.9332e-07 9.9428e-05 1.3334e-01 0.0000e+00
127 0.0000e+00 9.6000e-06 9.9121e-05 2.6356e-07 9.9121e-05 1.3344e-01 0.0000e+00
128 0.0000e+00 0.0000e+00 9.8815e-05 2.3529e-07 9.8815e-05 1.3354e-01 0.0000e+00
129 0.0000e+00 0.0000e+00 9.8511e-05 2.1162e-07 9.8511e-05 1.3364e-01 0.0000e+00
130 0.0000e+00 0.0000e+00 9.8209e-05 1.9039e-07 9.8209e-05 1.3373e-01 0.0000e+00
131 0.0000e+00 0.0000e+00 9.7908e-05 1.7133e-07 9.7908e-05 1.3383e-01 0.0000e+00
132 0.0000e+00 0.0000e+00 9.7610e-05 1.5422e-07 9.7610e-05 1.3393e-01 0.0000e+00
133 0.0000e+00 0.0000e+00 9.7313e-05 1.3886e-07 9.7313e-05 1.3403e-01 0.0000e+00
134 0.0000e+00 0.0000e+00 9.7018e-05 1.2505e-07 9.7018e-05 1.3412e-01 0.0000e+00
135 0.0000e+00 0.0000e+00 9.6725e-05 1.1265e-07 9.6725e-05 1.3422e-01 0.0000e+00
136 0.0000e+00 0.0000e+00 9.6433e-05 1.0150e-07 9.6433e-05 1.3432e-01 0.0000e+00
137 0.0000e+00 0.0000e+00 9.6143e-05 9.1478e-08 9.6143e-05 1.3441e-01 0.0000e+00
138 0.0000e+00 0.0000e+00 9.5855e-05 8.2465e-08 9.5855e-05 1.3451e-01 0.0000e+00
139 0.0000e+00 0.0000e+00 9.5569e-05 7.2538e-08 9.5569e-05 1.3460e-01 0.0000e+00
140 0.0000e+00 0.0000e+00 9.5284e-05 6.5486e-08 9.5284e-05 1.3470e-01 0.0000e+00
141 5.0000e-04 4.1400e-05 9.5001e-05 5.9131e-08 9.5001e-05 1.3479e-01 0.0000e+00
142 0.0000e+00 7.9900e-05 9.4719e-05 5.3403e-08 9.4719e-05 1.3489e-01 0.0000e+00
143 0.0000e+00 1.1300e-04 9.4439e-05 4.8239e-08 9.4439e-05 1.3498e-01 0.0000e+00
144 0.0000e+00 1.3840e-04 9.4161e-05 4.3584e-08 9.4161e-05 1.3508e-01 0.0000e+00
145 0.0000e+00 1.5310e-04 9.3885e-05 3.9385e-08 9.3885e-05 1.3517e-01 0.0000e+00
146 0.0000e+00 1.5990e-04 9.3610e-05 3.5598e-08 9.3610e-05 1.3526e-01 0.0000e+00
147 0.0000e+00 1.5310e-04 9.3336e-05 3.2181e-08 9.3336e-05 1.3536e-01 0.0000e+00
148 0.0000e+00 1.3840e-04 9.3065e-05 2.9097e-08 9.3065e-05 1.3545e-01 0.0000e+00
149 0.0000e+00 1.1300e-04 9.2795e-05 2.6314e-08 9.2795e-05 1.3554e-01 0.0000e+00
150 0.0000e+00 7.9900e-05 9.2526e-05 2.3802e-08 9.2526e-05 1.3564e-01 0.0000e+00
151 0.0000e+00 3.8700e-05 9.2259e-05 1.9896e-08 9.2259e-05 1.3573e-01 0.0000e+00
152 0.0000e+00 0.0000e+00 9.1993e-05 1.8039e-08 9.1993e-05 1.3582e-01 0.0000e+00
153 0.0000e+00 0.0000e+00 9.1729e-05 1.6359e-08 9.1729e-05 1.3591e-01 0.0000e+00
154 0.0000e+00 0.0000e+00 9.1467e-05 1.4837e-08 9.1467e-05 1.3600e-01 0.0000e+00
155 0.0000e+00 0.0000e+00 9.1206e-05 1.3458e-08 9.1206e-05 1.3609e-01 0.0000e+00
156 0.0000e+00 0.0000e+00 9.0946e-05 1.2209e-08 9.0946e-05 1.3619e-01 0.0000e+00
157 0.0000e+00 0.0000e+00 9.0688e-05 1.1078e-08 9.0688e-05 1.3628e-01 0.0000e+00
158 0.0000e+00 0.0000e+00 9.0431e-05 1.0053e-08 9.0431e-05 1.3637e-01 0.0000e+00
159 0.0000e+00 0.0000e+00 9.0176e-05 9.1237e-09 9.0176e-05 1.3646e-01 0.0000e+00
160 0.0000e+00 0.0000e+00 8.9923e-05 8.2816e-09 8.9923e-05 1.3655e-01 0.0000e+00
161 0.0000e+00 0.0000e+00 8.9670e-05 7.5183e-09 8.9670e-05 1.3664e-01 0.0000e+00
162 0.0000e+00 0.0000e+00 8.9419e-05 6.8262e-09 8.9419e-05 1.3673e-01 0.0000e+00
163 0.0000e+00 0.0000e+00 8.9170e-05 5.0565e-09 8.9170e-05 1.3681e-01 0.0000e+00
164 0.0000e+00 0.0000e+00 8.8922e-05 4.6078e-09 8.8922e-05 1.3690e-01 0.0000e+00
165 0.0000e+00 1.7800e-05 8.8675e-05 4.1992e-09 8.8675e-05 1.3699e-01 0.0000e+00
166 0.0000e+00 3.4400e-05 8.8430e-05 3.8273e-09 8.8430e-05 1.3708e-01 0.0000e+00
167 0.0000e+00 4.8600e-05 8.8186e-05 3.4885e-09 8.8186e-05 1.3717e-01 0.0000e+00
168 0.0000e+00 5.9500e-05 8.7943e-05 3.1801e-09 8.7943e-05 1.3726e-01 0.0000e+00
169 0.0000e+00 6.5900e-05 8.7702e-05 2.8992e-09 8.7702e-05 1.3734e-01 0.0000e+00
170 0.0000e+00 6.8800e-05 8.7462e-05 2.6433e-09 8.7462e-05 1.3743e-01 0.0000e+00
171 0.0000e+00 6.5900e-05 8.7223e-05 2.4102e-09 8.7223e-05 1.3752e-01 0.0000e+00
172 0.0000e+00 5.9500e-05 8.6985e-05 2.1978e-09 8.6985e-05 1.3761e-01 0.0000e+00
173 0.0000e+00 4.8600e-05 8.6749e-05 2.0044e-09 8.6749e-05 1.3769e-01 0.0000e+00
174 0.0000e+00 3.4400e-05 8.6514e-05 1.8281e-09 8.6514e-05 1.3778e-01 0.0000e+00
175 0.0000e+00 1.6600e-05 8.6281e-05 1.1229e-09 8.6281e-05 1.3787e-01 0.0000e+00
176 0.0000e+00 0.0000e+00 8.6049e-05 1.0286e-09 8.6049e-05 1.3795e-01 0.0000e+00
177 0.0000e+00 0.0000e+00 8.5817e-05 9.4219e-10 8.5817e-05 1.3804e-01 0.0000e+00
178 0.0000e+00 0.0000e+00 8.5588e-05 8.6311e-10 8.5588e-05 1.3812e-01 0.0000e+00
179 0.0000e+00 0.0000e+00 8.5359e-05 7.9070e-10 8.5359e-05 1.3821e-01 0.0000e+00
180 0.0000e+00 0.0000e+00 8.5132e-05 7.2441e-10 8.5132e-05 1.3829e-01 0.0000e+00
181 0.0000e+00 0.0000e+00 8.4905e-05 6.6372e-10 8.4905e-05 1.3838e-01 0.0000e+00
182 0.0000e+00 0.0000e+00 8.4680e-05 6.0814e-10 8.4680e-05 1.3846e-01 0.0000e+00
183 0.0000e+00 0.0000e+00 8.4457e-05 5.5725e-10 8.4457e-05 1.3855e-01 0.0000e+00
184 0.0000e+00 0.0000e+00 8.4234e-05 5.1064e-10 8.4234e-05 1.3863e-01 0.0000e+00
185 0.0000e+00 0.0000e+00 8.4013e-05 4.6796e-10 8.4013e-05 1.3872e-01 0.0000e+00
186 0.0000e+00 0.0000e+00 8.3792e-05 2.1689e-10 8.3792e-05 1.3880e-01 0.0000e+00
187 0.0000e+00 0.0000e+00 8.3573e-05 1.9961e-10 8.3573e-05 1.3888e-01 0.0000e+00
188 0.0000e+00 0.0000e+00 8.3355e-05 1.8371e-10 8.3355e-05 1.3897e-01 0.0000e+00
