Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-10309

TL =     7.97
SUMAC =     1.00
SZQ =       0.05131
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.23736
Initial SBAR             0.23536
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 2.3540e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 2.3543e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 2.3546e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 2.3550e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 3.7008e-05 7.0491e-05 3.2666e-05 2.3546e-01 4.3419e-06
6 5.0000e-04 3.2300e-05 3.5292e-05 1.0312e-04 3.2705e-05 2.3539e-01 2.5878e-06
7 5.0000e-04 1.5600e-05 3.5441e-05 1.3432e-04 3.2777e-05 2.3529e-01 2.6641e-06
8 0.0000e+00 0.0000e+00 3.2881e-05 1.1913e-04 3.2881e-05 2.3520e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 3.5729e-05 1.5183e-04 3.2970e-05 2.3508e-01 2.7593e-06
10 5.0000e-04 0.0000e+00 3.5940e-05 1.8159e-04 3.3092e-05 2.3493e-01 2.8481e-06
11 0.0000e+00 0.0000e+00 3.3246e-05 1.6195e-04 3.3246e-05 2.3480e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3380e-05 1.4582e-04 3.3380e-05 2.3469e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 3.9194e-05 2.2451e-04 3.3498e-05 2.3450e-01 5.6963e-06
14 5.0000e-04 0.0000e+00 3.6546e-05 2.4606e-04 3.3698e-05 2.3429e-01 2.8481e-06
15 5.0000e-04 0.0000e+00 3.6771e-05 2.6665e-04 3.3923e-05 2.3406e-01 2.8481e-06
16 1.0000e-03 0.0000e+00 3.9866e-05 3.3200e-04 3.4170e-05 2.3376e-01 5.6963e-06
17 0.0000e+00 0.0000e+00 3.4490e-05 2.9621e-04 3.4490e-05 2.3350e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.4773e-05 2.6692e-04 3.4773e-05 2.3326e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.5026e-05 2.4109e-04 3.5026e-05 2.3306e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.5252e-05 2.1811e-04 3.5252e-05 2.3287e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.5454e-05 1.9757e-04 3.5454e-05 2.3271e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.5635e-05 1.7913e-04 3.5635e-05 2.3257e-01 0.0000e+00
23 0.0000e+00 4.9200e-05 3.5795e-05 1.6254e-04 3.5795e-05 2.3244e-01 0.0000e+00
24 3.0000e-03 6.0200e-05 5.5016e-05 4.1771e-04 3.5937e-05 2.3206e-01 1.9080e-05
25 2.0000e-03 6.6600e-05 4.9282e-05 5.5111e-04 3.6368e-05 2.3155e-01 1.2914e-05
26 5.5000e-03 6.9600e-05 7.4355e-05 9.9845e-04 3.6958e-05 2.3058e-01 3.7397e-05
27 6.0000e-03 6.6600e-05 7.8903e-05 1.4448e-03 3.8085e-05 2.2918e-01 4.0818e-05
28 1.0000e-03 6.0200e-05 4.6221e-05 1.3775e-03 3.9797e-05 2.2784e-01 6.4244e-06
29 2.5000e-03 4.9200e-05 5.8288e-05 1.4706e-03 4.1496e-05 2.2641e-01 1.6793e-05
30 0.0000e+00 3.4800e-05 4.3391e-05 1.3207e-03 4.3391e-05 2.2513e-01 0.0000e+00
31 0.0000e+00 1.6800e-05 4.5158e-05 1.1912e-03 4.5158e-05 2.2399e-01 0.0000e+00
32 1.0000e-03 0.0000e+00 5.2994e-05 1.1639e-03 4.6804e-05 2.2287e-01 6.1894e-06
33 5.0000e-04 0.0000e+00 5.1909e-05 1.0983e-03 4.8467e-05 2.2182e-01 3.4414e-06
34 0.0000e+00 0.0000e+00 5.0084e-05 9.9046e-04 5.0084e-05 2.2088e-01 0.0000e+00
35 0.0000e+00 0.0000e+00 5.1577e-05 8.9491e-04 5.1577e-05 2.2004e-01 0.0000e+00
36 0.0000e+00 0.0000e+00 5.2955e-05 8.0903e-04 5.2955e-05 2.1928e-01 0.0000e+00
37 0.0000e+00 0.0000e+00 5.4221e-05 7.3163e-04 5.4221e-05 2.1860e-01 0.0000e+00
38 0.0000e+00 0.0000e+00 5.5381e-05 6.6180e-04 5.5381e-05 2.1800e-01 0.0000e+00
39 0.0000e+00 0.0000e+00 5.6440e-05 5.9875e-04 5.6440e-05 2.1745e-01 0.0000e+00
40 0.0000e+00 0.0000e+00 5.7405e-05 5.4179e-04 5.7405e-05 2.1697e-01 0.0000e+00
41 0.0000e+00 0.0000e+00 5.8280e-05 4.9033e-04 5.8280e-05 2.1654e-01 0.0000e+00
42 0.0000e+00 0.0000e+00 5.9073e-05 4.4382e-04 5.9073e-05 2.1615e-01 0.0000e+00
43 0.0000e+00 0.0000e+00 5.9787e-05 4.0178e-04 5.9787e-05 2.1581e-01 0.0000e+00
44 0.0000e+00 0.0000e+00 6.0430e-05 3.6379e-04 6.0430e-05 2.1551e-01 0.0000e+00
45 0.0000e+00 3.3800e-05 6.1005e-05 3.2943e-04 6.1005e-05 2.1524e-01 0.0000e+00
46 1.0000e-03 6.5200e-05 6.9631e-05 3.9742e-04 6.1519e-05 2.1490e-01 8.1120e-06
47 0.0000e+00 9.2300e-05 6.2168e-05 3.5485e-04 6.2168e-05 2.1461e-01 0.0000e+00
48 5.0000e-04 1.1300e-04 6.5616e-05 3.5470e-04 6.2739e-05 2.1432e-01 2.8766e-06
49 0.0000e+00 1.2500e-04 6.3314e-05 3.1817e-04 6.3314e-05 2.1406e-01 0.0000e+00
50 1.0000e-03 1.3050e-04 7.0221e-05 3.6538e-04 6.3821e-05 2.1376e-01 6.3999e-06
51 2.5000e-03 1.2500e-04 8.4319e-05 5.7090e-04 6.4425e-05 2.1326e-01 1.9894e-05
52 3.0000e-03 1.1300e-04 8.9591e-05 8.0008e-04 6.5453e-05 2.1252e-01 2.4138e-05
53 2.5000e-03 9.2300e-05 8.7013e-05 9.5126e-04 6.6973e-05 2.1164e-01 2.0041e-05
