Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-139

TL =     9.72
SUMAC =     1.00
SZQ =       0.00893
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.18141
Initial SBAR             0.17941
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 1.7944e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 1.7948e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 1.7951e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 1.7954e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 4.1650e-05 1.0044e-04 3.2666e-05 1.7947e-01 8.9842e-06
6 5.0000e-04 3.2300e-05 3.8090e-05 1.3899e-04 3.2735e-05 1.7937e-01 5.3547e-06
7 5.0000e-04 1.5600e-05 3.8357e-05 1.7623e-04 3.2844e-05 1.7922e-01 5.5127e-06
8 0.0000e+00 0.0000e+00 3.2992e-05 1.4671e-04 3.2992e-05 1.7911e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 3.8819e-05 1.9013e-04 3.3109e-05 1.7895e-01 5.7095e-06
10 5.0000e-04 0.0000e+00 3.9165e-05 2.2581e-04 3.3272e-05 1.7876e-01 5.8934e-06
11 0.0000e+00 0.0000e+00 3.3473e-05 1.9015e-04 3.3473e-05 1.7860e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3637e-05 1.6440e-04 3.3637e-05 1.7847e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 4.5561e-05 2.7586e-04 3.3775e-05 1.7823e-01 1.1787e-05
14 5.0000e-04 0.0000e+00 3.9925e-05 2.9610e-04 3.4031e-05 1.7797e-01 5.8934e-06
15 5.0000e-04 0.0000e+00 4.0204e-05 3.1763e-04 3.4311e-05 1.7769e-01 5.8934e-06
16 1.0000e-03 0.0000e+00 4.6403e-05 4.0354e-04 3.4616e-05 1.7732e-01 1.1787e-05
17 0.0000e+00 0.0000e+00 3.5018e-05 3.3927e-04 3.5018e-05 1.7701e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.5352e-05 2.9355e-04 3.5352e-05 1.7675e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.5639e-05 2.5552e-04 3.5639e-05 1.7653e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.5884e-05 2.2340e-04 3.5884e-05 1.7635e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.6095e-05 1.9598e-04 3.6095e-05 1.7619e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.6276e-05 1.7239e-04 3.6276e-05 1.7605e-01 0.0000e+00
23 0.0000e+00 4.9200e-05 3.6431e-05 1.5199e-04 3.6431e-05 1.7593e-01 0.0000e+00
24 3.0000e-03 6.0200e-05 7.0721e-05 5.2702e-04 3.6562e-05 1.7544e-01 3.4159e-05
25 2.0000e-03 6.6600e-05 5.9991e-05 6.9047e-04 3.7127e-05 1.7479e-01 2.2864e-05
26 5.5000e-03 6.9600e-05 1.0193e-04 1.3165e-03 3.7893e-05 1.7351e-01 6.4042e-05
27 6.0000e-03 6.6600e-05 1.0934e-04 1.8985e-03 3.9438e-05 1.7165e-01 6.9900e-05
28 1.0000e-03 6.0200e-05 5.2798e-05 1.7050e-03 4.1797e-05 1.6999e-01 1.1002e-05
29 2.5000e-03 4.9200e-05 7.2784e-05 1.8023e-03 4.4027e-05 1.6823e-01 2.8757e-05
30 0.0000e+00 3.4800e-05 4.6513e-05 1.5281e-03 4.6513e-05 1.6675e-01 0.0000e+00
31 0.0000e+00 1.6800e-05 4.8717e-05 1.3198e-03 4.8717e-05 1.6548e-01 0.0000e+00
32 1.0000e-03 0.0000e+00 6.6794e-05 1.2738e-03 5.0692e-05 1.6426e-01 1.6102e-05
33 5.0000e-04 0.0000e+00 6.2952e-05 1.1697e-03 5.2667e-05 1.6314e-01 1.0285e-05
34 0.0000e+00 0.0000e+00 5.4538e-05 1.0114e-03 5.4538e-05 1.6218e-01 0.0000e+00
35 0.0000e+00 0.0000e+00 5.6193e-05 8.7980e-04 5.6193e-05 1.6136e-01 0.0000e+00
36 0.0000e+00 0.0000e+00 5.7658e-05 7.6753e-04 5.7658e-05 1.6065e-01 0.0000e+00
37 0.0000e+00 0.0000e+00 5.8951e-05 6.7089e-04 5.8951e-05 1.6004e-01 0.0000e+00
38 0.0000e+00 0.0000e+00 6.0089e-05 5.8740e-04 6.0089e-05 1.5951e-01 0.0000e+00
39 0.0000e+00 0.0000e+00 6.1088e-05 5.1510e-04 6.1088e-05 1.5906e-01 0.0000e+00
40 0.0000e+00 0.0000e+00 6.1961e-05 4.5234e-04 6.1961e-05 1.5867e-01 0.0000e+00
41 0.0000e+00 0.0000e+00 6.2721e-05 3.9775e-04 6.2721e-05 1.5833e-01 0.0000e+00
42 0.0000e+00 0.0000e+00 6.3381e-05 3.5020e-04 6.3381e-05 1.5804e-01 0.0000e+00
43 0.0000e+00 0.0000e+00 6.3952e-05 3.0869e-04 6.3952e-05 1.5780e-01 0.0000e+00
44 0.0000e+00 0.0000e+00 6.4443e-05 2.7242e-04 6.4443e-05 1.5759e-01 0.0000e+00
45 0.0000e+00 3.3800e-05 6.4863e-05 2.4066e-04 6.4863e-05 1.5741e-01 0.0000e+00
46 1.0000e-03 6.5200e-05 8.5096e-05 3.6042e-04 6.5220e-05 1.5712e-01 1.9875e-05
47 0.0000e+00 9.2300e-05 6.5825e-05 2.9901e-04 6.5825e-05 1.5689e-01 0.0000e+00
48 5.0000e-04 1.1300e-04 7.3354e-05 3.1136e-04 6.6306e-05 1.5664e-01 7.0480e-06
49 0.0000e+00 1.2500e-04 6.6816e-05 2.6458e-04 6.6816e-05 1.5644e-01 0.0000e+00
50 1.0000e-03 1.3050e-04 8.2911e-05 3.4690e-04 6.7230e-05 1.5616e-01 1.5681e-05
51 2.5000e-03 1.2500e-04 1.1656e-04 6.5361e-04 6.7820e-05 1.5558e-01 4.8742e-05
52 3.0000e-03 1.1300e-04 1.2821e-04 9.6795e-04 6.9073e-05 1.5468e-01 5.9141e-05
53 2.5000e-03 9.2300e-05 1.2014e-04 1.1505e-03 7.1041e-05 1.5360e-01 4.9102e-05
54 3.0000e-03 6.5200e-05 1.3329e-04 1.3957e-03 7.3478e-05 1.5228e-01 5.9814e-05
55 2.5000e-03 3.1600e-05 1.2666e-04 1.5255e-03 7.6578e-05 1.5083e-01 5.0086e-05
