Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-1329

TL =     9.80
SUMAC =     1.00
SZQ =       0.00823
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.17881
Initial SBAR             0.17681
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 1.7684e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 1.7687e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 1.7690e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 1.7694e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 4.1573e-05 9.6517e-05 3.2666e-05 1.7687e-01 8.9067e-06
6 5.0000e-04 3.2300e-05 3.8040e-05 1.3589e-04 3.2731e-05 1.7677e-01 5.3085e-06
7 5.0000e-04 1.5600e-05 3.8302e-05 1.7340e-04 3.2837e-05 1.7663e-01 5.4651e-06
8 0.0000e+00 0.0000e+00 3.2981e-05 1.4687e-04 3.2981e-05 1.7652e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 3.8759e-05 1.8897e-04 3.3099e-05 1.7636e-01 5.6602e-06
10 5.0000e-04 0.0000e+00 3.9103e-05 2.2474e-04 3.3261e-05 1.7617e-01 5.8425e-06
11 0.0000e+00 0.0000e+00 3.3460e-05 1.9194e-04 3.3460e-05 1.7601e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3626e-05 1.6721e-04 3.3626e-05 1.7588e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 4.5452e-05 2.7408e-04 3.3767e-05 1.7564e-01 1.1685e-05
14 5.0000e-04 0.0000e+00 3.9864e-05 2.9588e-04 3.4022e-05 1.7537e-01 5.8425e-06
15 5.0000e-04 0.0000e+00 4.0144e-05 3.1792e-04 3.4301e-05 1.7509e-01 5.8425e-06
16 1.0000e-03 0.0000e+00 4.6292e-05 4.0189e-04 3.4607e-05 1.7472e-01 1.1685e-05
17 0.0000e+00 0.0000e+00 3.5006e-05 3.4259e-04 3.5006e-05 1.7442e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.5344e-05 2.9871e-04 3.5344e-05 1.7415e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.5636e-05 2.6156e-04 3.5636e-05 1.7393e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.5889e-05 2.2961e-04 3.5889e-05 1.7373e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.6107e-05 2.0195e-04 3.6107e-05 1.7357e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.6294e-05 1.7791e-04 3.6294e-05 1.7342e-01 0.0000e+00
23 0.0000e+00 4.9200e-05 3.6455e-05 1.5695e-04 3.6455e-05 1.7330e-01 0.0000e+00
