Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-12219

TL =     2.57
SUMAC =     1.00
SZQ =      11.35016
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.41014
Initial SBAR             0.40814
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
52 3.0000e-03 1.1300e-04 4.1880e-05 2.5981e-04 3.9927e-05 4.0163e-01 1.9528e-06
53 2.5000e-03 9.2300e-05 4.1823e-05 3.0584e-04 4.0202e-05 4.0136e-01 1.6214e-06
54 3.0000e-03 6.5200e-05 4.2340e-05 3.6434e-04 4.0537e-05 4.0104e-01 1.8024e-06
55 2.5000e-03 3.1600e-05 4.2417e-05 4.0152e-04 4.0949e-05 4.0068e-01 1.4680e-06
56 2.0000e-03 0.0000e+00 4.2569e-05 4.2095e-04 4.1413e-05 4.0030e-01 1.1558e-06
57 1.0000e-03 0.0000e+00 4.2587e-05 4.0842e-04 4.1908e-05 3.9993e-01 6.7925e-07
58 1.0000e-03 0.0000e+00 4.3070e-05 3.9910e-04 4.2390e-05 3.9957e-01 6.7925e-07
59 0.0000e+00 0.0000e+00 4.2865e-05 3.5897e-04 4.2865e-05 3.9926e-01 0.0000e+00
60 5.0000e-04 0.0000e+00 4.3586e-05 3.4096e-04 4.3291e-05 3.9896e-01 2.9460e-07
61 5.0000e-04 0.0000e+00 4.4118e-05 3.2421e-04 4.3696e-05 3.9868e-01 4.2230e-07
62 0.0000e+00 0.0000e+00 4.4080e-05 2.9325e-04 4.4080e-05 3.9843e-01 0.0000e+00
63 0.0000e+00 0.0000e+00 4.4425e-05 2.6612e-04 4.4425e-05 3.9821e-01 0.0000e+00
64 0.0000e+00 0.0000e+00 4.4734e-05 2.4184e-04 4.4734e-05 3.9801e-01 0.0000e+00
65 0.0000e+00 0.0000e+00 4.5010e-05 2.1999e-04 4.5010e-05 3.9784e-01 0.0000e+00
66 0.0000e+00 0.0000e+00 4.5257e-05 2.0029e-04 4.5257e-05 3.9768e-01 0.0000e+00
67 0.0000e+00 0.0000e+00 4.5477e-05 1.8247e-04 4.5477e-05 3.9754e-01 0.0000e+00
68 0.0000e+00 0.0000e+00 4.5672e-05 1.6634e-04 4.5672e-05 3.9742e-01 0.0000e+00
69 0.0000e+00 4.1400e-05 4.5844e-05 1.5172e-04 4.5844e-05 3.9732e-01 0.0000e+00
70 0.0000e+00 7.9800e-05 4.5996e-05 1.3845e-04 4.5996e-05 3.9723e-01 0.0000e+00
71 0.0000e+00 1.1290e-04 4.6129e-05 1.2640e-04 4.6129e-05 3.9715e-01 0.0000e+00
72 0.0000e+00 1.3830e-04 4.6245e-05 1.1545e-04 4.6245e-05 3.9708e-01 0.0000e+00
73 0.0000e+00 1.5300e-04 4.6345e-05 1.0548e-04 4.6345e-05 3.9702e-01 0.0000e+00
74 0.0000e+00 1.5980e-04 4.6431e-05 9.6415e-05 4.6431e-05 3.9697e-01 0.0000e+00
75 0.0000e+00 1.5300e-04 4.6504e-05 8.8156e-05 4.6504e-05 3.9693e-01 0.0000e+00
76 0.0000e+00 1.3830e-04 4.6564e-05 8.0630e-05 4.6564e-05 3.9689e-01 0.0000e+00
77 0.0000e+00 1.1290e-04 4.6614e-05 7.3770e-05 4.6614e-05 3.9686e-01 0.0000e+00
78 0.0000e+00 7.9800e-05 4.6653e-05 6.7514e-05 4.6653e-05 3.9684e-01 0.0000e+00
79 0.0000e+00 3.8700e-05 4.6684e-05 6.1806e-05 4.6684e-05 3.9683e-01 0.0000e+00
80 0.0000e+00 0.0000e+00 4.6706e-05 5.6596e-05 4.6706e-05 3.9682e-01 0.0000e+00
81 0.0000e+00 0.0000e+00 4.6720e-05 5.1839e-05 4.6720e-05 3.9681e-01 0.0000e+00
82 0.0000e+00 0.0000e+00 4.6728e-05 4.7494e-05 4.6728e-05 3.9681e-01 0.0000e+00
83 0.0000e+00 0.0000e+00 4.6729e-05 4.3524e-05 4.6729e-05 3.9682e-01 0.0000e+00
84 0.0000e+00 0.0000e+00 4.6724e-05 3.9896e-05 4.6724e-05 3.9682e-01 0.0000e+00
85 0.0000e+00 0.0000e+00 4.6714e-05 3.6578e-05 4.6714e-05 3.9683e-01 0.0000e+00
86 0.0000e+00 0.0000e+00 4.6700e-05 3.3544e-05 4.6700e-05 3.9685e-01 0.0000e+00
87 0.0000e+00 0.0000e+00 4.6680e-05 3.0768e-05 4.6680e-05 3.9686e-01 0.0000e+00
88 0.0000e+00 0.0000e+00 4.6657e-05 2.8229e-05 4.6657e-05 3.9688e-01 0.0000e+00
89 0.0000e+00 0.0000e+00 4.6630e-05 2.5904e-05 4.6630e-05 3.9690e-01 0.0000e+00
90 0.0000e+00 0.0000e+00 4.6600e-05 2.3776e-05 4.6600e-05 3.9692e-01 0.0000e+00
91 0.0000e+00 0.0000e+00 4.6567e-05 2.1826e-05 4.6567e-05 3.9695e-01 0.0000e+00
92 0.0000e+00 0.0000e+00 4.6531e-05 2.0041e-05 4.6531e-05 3.9697e-01 0.0000e+00
93 0.0000e+00 1.9100e-05 4.6492e-05 1.8405e-05 4.6492e-05 3.9700e-01 0.0000e+00
94 0.0000e+00 3.6800e-05 4.6452e-05 1.6906e-05 4.6452e-05 3.9703e-01 0.0000e+00
95 0.0000e+00 5.2100e-05 4.6409e-05 1.5532e-05 4.6409e-05 3.9706e-01 0.0000e+00
96 0.0000e+00 6.3800e-05 4.6364e-05 1.4272e-05 4.6364e-05 3.9710e-01 0.0000e+00
97 5.0000e-04 7.0600e-05 4.6317e-05 1.3116e-05 4.6317e-05 3.9713e-01 0.0000e+00
98 5.0000e-04 7.3700e-05 4.6269e-05 1.2056e-05 4.6269e-05 3.9716e-01 0.0000e+00
99 0.0000e+00 7.0600e-05 4.6220e-05 1.1084e-05 4.6220e-05 3.9720e-01 0.0000e+00
100 0.0000e+00 6.3800e-05 4.6169e-05 1.0192e-05 4.6169e-05 3.9723e-01 0.0000e+00
101 0.0000e+00 5.2100e-05 4.6117e-05 9.3728e-06 4.6117e-05 3.9727e-01 0.0000e+00
102 0.0000e+00 3.6800e-05 4.6064e-05 8.6211e-06 4.6064e-05 3.9731e-01 0.0000e+00
103 0.0000e+00 1.7800e-05 4.6011e-05 7.9309e-06 4.6011e-05 3.9735e-01 0.0000e+00
104 0.0000e+00 0.0000e+00 4.5956e-05 7.2971e-06 4.5956e-05 3.9738e-01 0.0000e+00
