Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-12159

TL =     8.23
SUMAC =     1.00
SZQ =       0.03947
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.22897
Initial SBAR             0.22697
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 2.2701e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 2.2704e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 2.2707e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 2.2710e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 4.2906e-05 7.5060e-05 3.2666e-05 2.2706e-01 1.0240e-05
6 5.0000e-04 3.2300e-05 3.8813e-05 1.0735e-04 3.2709e-05 2.2699e-01 6.1033e-06
7 5.0000e-04 1.5600e-05 3.9069e-05 1.3900e-04 3.2786e-05 2.2688e-01 6.2833e-06
8 0.0000e+00 0.0000e+00 3.2895e-05 1.2138e-04 3.2895e-05 2.2679e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 3.9493e-05 1.5641e-04 3.2986e-05 2.2667e-01 6.5077e-06
10 5.0000e-04 0.0000e+00 3.9830e-05 1.8689e-04 3.3113e-05 2.2652e-01 6.7172e-06
11 0.0000e+00 0.0000e+00 3.3273e-05 1.6463e-04 3.3273e-05 2.2638e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3410e-05 1.4786e-04 3.3410e-05 2.2627e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 4.6964e-05 2.3232e-04 3.3529e-05 2.2607e-01 1.3434e-05
14 5.0000e-04 0.0000e+00 4.0456e-05 2.5249e-04 3.3738e-05 2.2585e-01 6.7172e-06
15 5.0000e-04 0.0000e+00 4.0687e-05 2.7322e-04 3.3970e-05 2.2561e-01 6.7172e-06
16 1.0000e-03 0.0000e+00 4.8819e-05 3.4087e-04 3.4225e-05 2.2531e-01 1.4595e-05
17 0.0000e+00 0.0000e+00 3.4554e-05 3.0102e-04 3.4554e-05 2.2504e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.4843e-05 2.7069e-04 3.4843e-05 2.2480e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.5101e-05 2.4426e-04 3.5101e-05 2.2459e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.5331e-05 2.2085e-04 3.5331e-05 2.2441e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.5536e-05 1.9999e-04 3.5536e-05 2.2424e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.5720e-05 1.8132e-04 3.5720e-05 2.2410e-01 0.0000e+00
23 0.0000e+00 4.9200e-05 3.5882e-05 1.6457e-04 3.5882e-05 2.2397e-01 0.0000e+00
24 3.0000e-03 6.0200e-05 8.5396e-05 4.3161e-04 3.6027e-05 2.2357e-01 4.9369e-05
25 2.0000e-03 6.6600e-05 6.9520e-05 5.6611e-04 3.6475e-05 2.2305e-01 3.3045e-05
26 5.5000e-03 6.9600e-05 1.2964e-04 1.0321e-03 3.7084e-05 2.2205e-01 9.2559e-05
27 6.0000e-03 6.6600e-05 1.3928e-04 1.4881e-03 3.8255e-05 2.2060e-01 1.0103e-04
28 1.0000e-03 6.0200e-05 5.5929e-05 1.4048e-03 4.0028e-05 2.1924e-01 1.5901e-05
29 2.5000e-03 4.9200e-05 8.3335e-05 1.5026e-03 4.1772e-05 2.1777e-01 4.1563e-05
30 0.0000e+00 3.4800e-05 4.3723e-05 1.3418e-03 4.3723e-05 2.1648e-01 0.0000e+00
31 0.0000e+00 1.6800e-05 4.5533e-05 1.2085e-03 4.5533e-05 2.1531e-01 0.0000e+00
32 1.0000e-03 0.0000e+00 6.2538e-05 1.1824e-03 4.7219e-05 2.1418e-01 1.5319e-05
33 5.0000e-04 0.0000e+00 5.7441e-05 1.1144e-03 4.8924e-05 2.1311e-01 8.5176e-06
34 0.0000e+00 0.0000e+00 5.0580e-05 1.0032e-03 5.0580e-05 2.1216e-01 0.0000e+00
35 0.0000e+00 0.0000e+00 5.2109e-05 9.0590e-04 5.2109e-05 2.1131e-01 0.0000e+00
36 0.0000e+00 0.0000e+00 5.3518e-05 8.1878e-04 5.3518e-05 2.1054e-01 0.0000e+00
37 0.0000e+00 0.0000e+00 5.4813e-05 7.4054e-04 5.4813e-05 2.0986e-01 0.0000e+00
38 0.0000e+00 0.0000e+00 5.6000e-05 6.7012e-04 5.6000e-05 2.0924e-01 0.0000e+00
39 0.0000e+00 0.0000e+00 5.7085e-05 6.0667e-04 5.7085e-05 2.0869e-01 0.0000e+00
40 0.0000e+00 0.0000e+00 5.8074e-05 5.4944e-04 5.8074e-05 2.0820e-01 0.0000e+00
41 0.0000e+00 0.0000e+00 5.8973e-05 4.9780e-04 5.8973e-05 2.0776e-01 0.0000e+00
42 0.0000e+00 0.0000e+00 5.9787e-05 4.5117e-04 5.9787e-05 2.0737e-01 0.0000e+00
43 0.0000e+00 0.0000e+00 6.0523e-05 4.0906e-04 6.0523e-05 2.0702e-01 0.0000e+00
44 0.0000e+00 0.0000e+00 6.1186e-05 3.7100e-04 6.1186e-05 2.0671e-01 0.0000e+00
45 0.0000e+00 3.3800e-05 6.1781e-05 3.3659e-04 6.1781e-05 2.0644e-01 0.0000e+00
46 1.0000e-03 6.5200e-05 7.8773e-05 4.1062e-04 6.2314e-05 2.0609e-01 1.6459e-05
47 0.0000e+00 9.2300e-05 6.2996e-05 3.6379e-04 6.2996e-05 2.0579e-01 0.0000e+00
48 5.0000e-04 1.1300e-04 6.9427e-05 3.6513e-04 6.3591e-05 2.0549e-01 5.8366e-06
49 0.0000e+00 1.2500e-04 6.4193e-05 3.2665e-04 6.4193e-05 2.0522e-01 0.0000e+00
50 1.0000e-03 1.3050e-04 7.7707e-05 3.7825e-04 6.4721e-05 2.0491e-01 1.2986e-05
51 2.5000e-03 1.2500e-04 1.0754e-04 5.9291e-04 6.5359e-05 2.0438e-01 4.2185e-05
52 3.0000e-03 1.1300e-04 1.2128e-04 8.2536e-04 6.6445e-05 2.0362e-01 5.4835e-05
53 2.5000e-03 9.2300e-05 1.1582e-04 9.7607e-04 6.8040e-05 2.0272e-01 4.7777e-05
54 3.0000e-03 6.5200e-05 1.3043e-04 1.1698e-03 6.9998e-05 2.0162e-01 6.0432e-05
55 2.5000e-03 3.1600e-05 1.2305e-04 1.2924e-03 7.2446e-05 2.0040e-01 5.0604e-05
56 2.0000e-03 0.0000e+00 1.1617e-04 1.3538e-03 7.5261e-05 1.9912e-01 4.0910e-05
57 1.0000e-03 0.0000e+00 9.9112e-05 1.3062e-03 7.8329e-05 1.9789e-01 2.0783e-05
58 1.0000e-03 0.0000e+00 1.0218e-04 1.2704e-03 8.1393e-05 1.9670e-01 2.0783e-05
59 0.0000e+00 0.0000e+00 8.4474e-05 1.1274e-03 8.4474e-05 1.9566e-01 0.0000e+00
60 5.0000e-04 0.0000e+00 9.7664e-05 1.0633e-03 8.7272e-05 1.9468e-01 1.0392e-05
61 5.0000e-04 0.0000e+00 1.0037e-04 1.0044e-03 8.9975e-05 1.9377e-01 1.0392e-05
62 0.0000e+00 0.0000e+00 9.2584e-05 8.9464e-04 9.2584e-05 1.9297e-01 0.0000e+00
63 0.0000e+00 0.0000e+00 9.4933e-05 8.0021e-04 9.4933e-05 1.9226e-01 0.0000e+00
64 0.0000e+00 0.0000e+00 9.7049e-05 7.1667e-04 9.7049e-05 1.9164e-01 0.0000e+00
65 0.0000e+00 0.0000e+00 9.8946e-05 6.4249e-04 9.8946e-05 1.9110e-01 0.0000e+00
66 0.0000e+00 0.0000e+00 1.0064e-04 5.7644e-04 1.0064e-04 1.9062e-01 0.0000e+00
