Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-11589

TL =     7.80
SUMAC =     1.00
SZQ =       0.06076
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.24278
Initial SBAR             0.24078
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 2.4081e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 2.4084e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 2.4087e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 2.4091e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 4.1339e-05 7.1108e-05 3.2666e-05 2.4087e-01 8.6729e-06
6 5.0000e-04 3.2300e-05 3.7874e-05 1.0233e-04 3.2705e-05 2.4080e-01 5.1691e-06
7 5.0000e-04 1.5600e-05 3.8098e-05 1.3246e-04 3.2777e-05 2.4070e-01 5.3216e-06
8 0.0000e+00 0.0000e+00 3.2879e-05 1.1587e-04 3.2879e-05 2.4062e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 3.8476e-05 1.4872e-04 3.2964e-05 2.4050e-01 5.5116e-06
10 5.0000e-04 0.0000e+00 3.8773e-05 1.7780e-04 3.3084e-05 2.4036e-01 5.6891e-06
11 0.0000e+00 0.0000e+00 3.3234e-05 1.5687e-04 3.3234e-05 2.4023e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3362e-05 1.4065e-04 3.3362e-05 2.4013e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 4.4852e-05 2.2044e-04 3.3474e-05 2.3994e-01 1.1378e-05
14 5.0000e-04 0.0000e+00 3.9360e-05 2.4028e-04 3.3670e-05 2.3973e-01 5.6891e-06
15 5.0000e-04 0.0000e+00 3.9578e-05 2.5996e-04 3.3889e-05 2.3951e-01 5.6891e-06
16 1.0000e-03 0.0000e+00 4.5507e-05 3.2503e-04 3.4129e-05 2.3921e-01 1.1378e-05
17 0.0000e+00 0.0000e+00 3.4440e-05 2.8678e-04 3.4440e-05 2.3896e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.4713e-05 2.5746e-04 3.4713e-05 2.3874e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.4956e-05 2.3209e-04 3.4956e-05 2.3854e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.5172e-05 2.0973e-04 3.5172e-05 2.3837e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.5364e-05 1.8987e-04 3.5364e-05 2.3821e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.5535e-05 1.7214e-04 3.5535e-05 2.3808e-01 0.0000e+00
23 0.0000e+00 4.9200e-05 3.5687e-05 1.5626e-04 3.5687e-05 2.3796e-01 0.0000e+00
24 3.0000e-03 6.0200e-05 7.0669e-05 4.1643e-04 3.5822e-05 2.3758e-01 3.4847e-05
25 2.0000e-03 6.6600e-05 5.8587e-05 5.4489e-04 3.6250e-05 2.3707e-01 2.2337e-05
26 5.5000e-03 6.9600e-05 1.0993e-04 9.8829e-04 3.6831e-05 2.3612e-01 7.3103e-05
27 6.0000e-03 6.6600e-05 1.2066e-04 1.4227e-03 3.7943e-05 2.3473e-01 8.2715e-05
