Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-12989

TL =     7.21
SUMAC =     1.00
SZQ =       0.10963
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.26166
Initial SBAR             0.25966
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 2.5969e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 2.5973e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 2.5976e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 2.5979e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 3.7124e-05 6.4965e-05 3.2666e-05 2.5976e-01 4.4579e-06
6 5.0000e-04 3.2300e-05 3.5356e-05 9.4261e-05 3.2699e-05 2.5970e-01 2.6570e-06
7 5.0000e-04 1.5600e-05 3.5497e-05 1.2308e-04 3.2762e-05 2.5961e-01 2.7353e-06
8 0.0000e+00 0.0000e+00 3.2855e-05 1.0937e-04 3.2855e-05 2.5953e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 3.5766e-05 1.4047e-04 3.2933e-05 2.5942e-01 2.8330e-06
10 5.0000e-04 0.0000e+00 3.5968e-05 1.6822e-04 3.3044e-05 2.5929e-01 2.9243e-06
11 0.0000e+00 0.0000e+00 3.3184e-05 1.5062e-04 3.3184e-05 2.5917e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3306e-05 1.3694e-04 3.3306e-05 2.5907e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 3.9263e-05 2.1037e-04 3.3414e-05 2.5889e-01 5.8485e-06
14 5.0000e-04 0.0000e+00 3.6524e-05 2.2997e-04 3.3599e-05 2.5869e-01 2.9243e-06
15 5.0000e-04 0.0000e+00 3.6730e-05 2.4972e-04 3.3806e-05 2.5848e-01 2.9243e-06
16 1.0000e-03 0.0000e+00 3.9883e-05 3.1077e-04 3.4035e-05 2.5820e-01 5.8485e-06
17 0.0000e+00 0.0000e+00 3.4331e-05 2.7831e-04 3.4331e-05 2.5796e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.4593e-05 2.5327e-04 3.4593e-05 2.5774e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.4831e-05 2.3106e-04 3.4831e-05 2.5754e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.5045e-05 2.1116e-04 3.5045e-05 2.5737e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.5238e-05 1.9321e-04 3.5238e-05 2.5721e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.5413e-05 1.7695e-04 3.5413e-05 2.5707e-01 0.0000e+00
23 0.0000e+00 4.9200e-05 3.5570e-05 1.6218e-04 3.5570e-05 2.5694e-01 0.0000e+00
24 3.0000e-03 6.0200e-05 5.6847e-05 3.9480e-04 3.5711e-05 2.5658e-01 2.1137e-05
25 2.0000e-03 6.6600e-05 5.0335e-05 5.1543e-04 3.6114e-05 2.5610e-01 1.4222e-05
26 5.5000e-03 6.9600e-05 7.6494e-05 9.2503e-04 3.6659e-05 2.5521e-01 3.9835e-05
27 6.0000e-03 6.6600e-05 8.1169e-05 1.3316e-03 3.7691e-05 2.5392e-01 4.3479e-05
28 1.0000e-03 6.0200e-05 4.6089e-05 1.2721e-03 3.9246e-05 2.5269e-01 6.8432e-06
29 2.5000e-03 4.9200e-05 5.8675e-05 1.3645e-03 4.0787e-05 2.5136e-01 1.7887e-05
30 0.0000e+00 3.4800e-05 4.2510e-05 1.2345e-03 4.2510e-05 2.5017e-01 0.0000e+00
31 0.0000e+00 1.6800e-05 4.4123e-05 1.1249e-03 4.4123e-05 2.4909e-01 0.0000e+00
32 1.0000e-03 0.0000e+00 5.2232e-05 1.1066e-03 4.5639e-05 2.4803e-01 6.5930e-06
33 5.0000e-04 0.0000e+00 5.0843e-05 1.0517e-03 4.7177e-05 2.4703e-01 3.6658e-06
34 0.0000e+00 0.0000e+00 4.8682e-05 9.5825e-04 4.8682e-05 2.4612e-01 0.0000e+00
35 0.0000e+00 0.0000e+00 5.0085e-05 8.7542e-04 5.0085e-05 2.4529e-01 0.0000e+00
36 0.0000e+00 0.0000e+00 5.1394e-05 8.0032e-04 5.1394e-05 2.4454e-01 0.0000e+00
37 0.0000e+00 0.0000e+00 5.2611e-05 7.3195e-04 5.2611e-05 2.4386e-01 0.0000e+00
38 0.0000e+00 0.0000e+00 5.3740e-05 6.6962e-04 5.3740e-05 2.4325e-01 0.0000e+00
39 0.0000e+00 0.0000e+00 5.4784e-05 6.1272e-04 5.4784e-05 2.4269e-01 0.0000e+00
40 0.0000e+00 0.0000e+00 5.5748e-05 5.6077e-04 5.5748e-05 2.4218e-01 0.0000e+00
41 0.0000e+00 0.0000e+00 5.6635e-05 5.1332e-04 5.6635e-05 2.4173e-01 0.0000e+00
42 0.0000e+00 0.0000e+00 5.7449e-05 4.6995e-04 5.7449e-05 2.4131e-01 0.0000e+00
43 0.0000e+00 0.0000e+00 5.8194e-05 4.3031e-04 5.8194e-05 2.4094e-01 0.0000e+00
44 0.0000e+00 0.0000e+00 5.8875e-05 3.9407e-04 5.8875e-05 2.4061e-01 0.0000e+00
45 0.0000e+00 3.3800e-05 5.9495e-05 3.6093e-04 5.9495e-05 2.4031e-01 0.0000e+00
46 1.0000e-03 6.5200e-05 6.9386e-05 4.1896e-04 6.0058e-05 2.3995e-01 9.3280e-06
47 0.0000e+00 9.2300e-05 6.0735e-05 3.7872e-04 6.0735e-05 2.3963e-01 0.0000e+00
48 5.0000e-04 1.1300e-04 6.4649e-05 3.7680e-04 6.1342e-05 2.3931e-01 3.3077e-06
49 0.0000e+00 1.2500e-04 6.1949e-05 3.4232e-04 6.1949e-05 2.3903e-01 0.0000e+00
50 1.0000e-03 1.3050e-04 6.9854e-05 3.8252e-04 6.2494e-05 2.3871e-01 7.3593e-06
51 2.5000e-03 1.2500e-04 8.5998e-05 5.6397e-04 6.3123e-05 2.3821e-01 2.2876e-05
