Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-13479

TL =     8.91
SUMAC =     1.00
SZQ =       0.02011
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.20740
Initial SBAR             0.20540
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 2.0543e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 2.0546e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 2.0549e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 2.0553e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 4.9541e-05 8.2446e-05 3.2666e-05 2.0548e-01 1.6875e-05
6 5.0000e-04 3.2300e-05 4.2775e-05 1.1686e-04 3.2717e-05 2.0539e-01 1.0058e-05
7 5.0000e-04 1.5600e-05 4.3157e-05 1.5038e-04 3.2803e-05 2.0528e-01 1.0354e-05
8 0.0000e+00 0.0000e+00 3.2924e-05 1.2946e-04 3.2924e-05 2.0518e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 4.3747e-05 1.6687e-04 3.3023e-05 2.0505e-01 1.0724e-05
10 5.0000e-04 0.0000e+00 4.4231e-05 1.9892e-04 3.3162e-05 2.0488e-01 1.1069e-05
11 0.0000e+00 0.0000e+00 3.3334e-05 1.7289e-04 3.3334e-05 2.0474e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3480e-05 1.5339e-04 3.3480e-05 2.0462e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 5.5744e-05 2.4545e-04 3.3605e-05 2.0441e-01 2.2139e-05
14 5.0000e-04 0.0000e+00 4.4898e-05 2.6592e-04 3.3828e-05 2.0418e-01 1.1069e-05
15 5.0000e-04 0.0000e+00 4.5144e-05 2.8700e-04 3.4075e-05 2.0392e-01 1.1069e-05
16 1.0000e-03 0.0000e+00 5.6484e-05 3.6064e-04 3.4345e-05 2.0360e-01 2.2139e-05
17 0.0000e+00 0.0000e+00 3.4697e-05 3.1331e-04 3.4697e-05 2.0332e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.5000e-05 2.7823e-04 3.5000e-05 2.0308e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.5268e-05 2.4806e-04 3.5268e-05 2.0286e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.5503e-05 2.2179e-04 3.5503e-05 2.0268e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.5710e-05 1.9873e-04 3.5710e-05 2.0251e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.5893e-05 1.7836e-04 3.5893e-05 2.0237e-01 0.0000e+00
