,0
12219,6.2e-05
12079,7.8e-05
10529,9e-05
13719,0.000136
12049,0.00013700000000000002
12169,0.000138
12229,0.00014099999999999998
11829,0.00014199999999999998
109,0.00014199999999999998
11729,0.000161
11759,0.000167
12579,0.00017900000000000001
10509,0.000182
13639,0.000192
10279,0.000196
12029,0.000197
11739,0.000198
12069,0.00020299999999999997
11109,0.00021099999999999998
10959,0.000213
12559,0.000217
10049,0.000221
12209,0.00022200000000000003
12629,0.00022400000000000002
13629,0.000227
13779,0.000231
12709,0.000231
13879,0.00023199999999999997
10609,0.000236
13069,0.000241
1159,0.00024300000000000002
12639,0.00024700000000000004
12589,0.00024700000000000004
12019,0.000248
12039,0.000248
13709,0.00024900000000000004
12349,0.00025
11789,0.000251
12549,0.000252
12659,0.00025299999999999997
12569,0.000254
10639,0.000256
10549,0.000258
12539,0.000259
12839,0.000261
12829,0.000263
10089,0.000264
12719,0.000264
10019,0.000265
12799,0.000265
13789,0.000266
13699,0.000267
12909,0.000271
10389,0.000272
12679,0.000273
12879,0.000273
11869,0.000273
13729,0.000276
12099,0.000276
12359,0.000276
12609,0.000279
11899,0.00028
11589,0.00028
12989,0.00028
12129,0.00028
12669,0.00028199999999999997
13469,0.00028199999999999997
10079,0.00028199999999999997
10119,0.00028199999999999997
10559,0.00028199999999999997
1189,0.00028199999999999997
13369,0.000283
11089,0.00028399999999999996
10499,0.00028399999999999996
13659,0.00028399999999999996
10179,0.00028399999999999996
11839,0.000285
12779,0.000285
10309,0.000285
10349,0.000285
11119,0.000285
12139,0.000286
12389,0.000286
12509,0.000286
11799,0.00028700000000000004
10459,0.00028700000000000004
13649,0.00028700000000000004
11039,0.00028700000000000004
10439,0.000288
13839,0.000288
10399,0.000288
11769,0.00028900000000000003
10379,0.00028900000000000003
11069,0.00028900000000000003
10199,0.00029
13669,0.000291
10409,0.000292
10469,0.000293
11249,0.000293
10999,0.000293
12789,0.000293
12379,0.000293
12089,0.000293
13749,0.000294
11809,0.000294
13599,0.000294
12369,0.000295
10569,0.000295
10269,0.000296
10819,0.000297
10099,0.000297
10709,0.000297
12109,0.000297
11659,0.000297
13689,0.000298
10209,0.000298
11029,0.000298
10139,0.000298
1199,0.000299
10859,0.000299
119,0.000299
13869,0.0003
12729,0.0003
11209,0.0003
12469,0.0003
12529,0.0003
1289,0.0003
12859,0.0003
13149,0.0003
13389,0.000301
11519,0.000301
10329,0.000301
10849,0.000301
10319,0.000301
10719,0.000301
11299,0.000301
10129,0.000301
11639,0.000301
12519,0.000301
1089,0.000302
12699,0.000302
10979,0.000302
10539,0.000302
1279,0.000302
1239,0.000302
10009,0.000302
1219,0.000302
10359,0.000303
11339,0.000303
11539,0.000303
10219,0.000303
129,0.000303
10519,0.000303
11269,0.000303
12159,0.000303
10169,0.000303
11319,0.000303
10689,0.000303
1369,0.000303
10479,0.000303
12479,0.000303
1069,0.000303
11569,0.000303
11229,0.000304
12459,0.000304
10599,0.000304
11629,0.000304
11259,0.000304
10629,0.000304
11499,0.000304
11239,0.000304
1019,0.000304
1339,0.000305
12949,0.000305
12769,0.000305
10899,0.000305
10679,0.000305
10879,0.000305
10729,0.000305
11609,0.000306
11129,0.000306
12869,0.000306
10299,0.000306
11719,0.000306
13769,0.000307
1129,0.000307
10649,0.000307
11529,0.000307
10429,0.000308
10949,0.000308
13119,0.000308
13959,0.000308
12119,0.00031
11049,0.00031
11819,0.00031
11349,0.00031099999999999997
10789,0.000312
12189,0.000312
13049,0.00031299999999999996
12649,0.00031299999999999996
12489,0.00031299999999999996
11219,0.000315
12689,0.000315
1119,0.00031600000000000004
10909,0.00031600000000000004
11019,0.000317
13679,0.000317
1169,0.000317
10369,0.00031800000000000003
1009,0.00031800000000000003
10659,0.00031800000000000003
11939,0.00031800000000000003
11079,0.000319
13009,0.00032
13379,0.00032
10159,0.00032
1099,0.000321
13409,0.000321
12199,0.000322
11509,0.000322
10989,0.000322
13809,0.000324
13529,0.000324
11309,0.000324
11469,0.000325
1359,0.000325
13929,0.000325
11849,0.000325
10029,0.00032599999999999996
13249,0.000327
1319,0.000327
11549,0.000328
10919,0.000328
12429,0.00032900000000000003
11359,0.00032900000000000003
10039,0.00032900000000000003
1209,0.00033
10069,0.00033
13519,0.000332
12439,0.000334
11279,0.000334
11859,0.000334
13609,0.000336
13549,0.000337
13569,0.000337
10759,0.000337
11329,0.000337
11389,0.000338
11879,0.000339
11599,0.00033999999999999997
1399,0.00033999999999999997
13509,0.00033999999999999997
13759,0.000341
11699,0.000343
10839,0.00034500000000000004
11009,0.00034500000000000004
12599,0.00035
13559,0.00035
1329,0.00035299999999999996
13909,0.00035299999999999996
1059,0.00035299999999999996
11399,0.00035800000000000003
10149,0.000359
12279,0.000361
12499,0.000362
10869,0.000362
13479,0.000362
10589,0.000364
1139,0.00037200000000000004
11959,0.00037400000000000004
1149,0.000375
12939,0.000376
10769,0.00037799999999999997
13579,0.00037799999999999997
10189,0.00037799999999999997
13829,0.000379
13739,0.000379
13229,0.000379
10669,0.000381
12059,0.000384
139,0.00038500000000000003
10249,0.000386
11099,0.00038700000000000003
12889,0.000396
10939,0.000397
1029,0.00040199999999999996
1249,0.00040899999999999997
11149,0.000414
10619,0.000425
13349,0.000439
1229,0.00044100000000000004
13849,0.000454
11969,0.00046100000000000004
13619,0.000471
13489,0.00047699999999999994
11669,0.00049
