Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-13249

TL =     8.39
SUMAC =     1.00
SZQ =       0.03365
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.22387
Initial SBAR             0.22187
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 2.2190e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 2.2194e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 2.2197e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 2.2200e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 4.5207e-05 7.6369e-05 3.2666e-05 2.2196e-01 1.2541e-05
6 5.0000e-04 3.2300e-05 4.0185e-05 1.0918e-04 3.2711e-05 2.2188e-01 7.4744e-06
7 5.0000e-04 1.5600e-05 4.0484e-05 1.4134e-04 3.2789e-05 2.2177e-01 7.6948e-06
8 0.0000e+00 0.0000e+00 3.2900e-05 1.2329e-04 3.2900e-05 2.2168e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 4.0963e-05 1.5879e-04 3.2993e-05 2.2156e-01 7.9696e-06
10 5.0000e-04 0.0000e+00 4.1350e-05 1.8968e-04 3.3123e-05 2.2140e-01 8.2263e-06
11 0.0000e+00 0.0000e+00 3.3286e-05 1.6696e-04 3.3286e-05 2.2127e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3425e-05 1.4978e-04 3.3425e-05 2.2115e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 4.9999e-05 2.3555e-04 3.3547e-05 2.2095e-01 1.6453e-05
14 5.0000e-04 0.0000e+00 4.1986e-05 2.5607e-04 3.3759e-05 2.2073e-01 8.2263e-06
15 5.0000e-04 0.0000e+00 4.2221e-05 2.7708e-04 3.3995e-05 2.2048e-01 8.2263e-06
