Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-10159

TL =     8.44
SUMAC =     1.00
SZQ =       0.03213
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.22238
Initial SBAR             0.22038
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 2.2042e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 2.2045e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 2.2048e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 2.2052e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 4.3241e-05 7.9523e-05 3.2666e-05 2.2047e-01 1.0575e-05
6 5.0000e-04 3.2300e-05 3.9016e-05 1.1170e-04 3.2714e-05 2.2039e-01 6.3026e-06
7 5.0000e-04 1.5600e-05 3.9283e-05 1.4370e-04 3.2795e-05 2.2028e-01 6.4885e-06
8 0.0000e+00 0.0000e+00 3.2909e-05 1.2348e-04 3.2909e-05 2.2019e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 3.9722e-05 1.6035e-04 3.3002e-05 2.2006e-01 6.7202e-06
10 5.0000e-04 0.0000e+00 4.0070e-05 1.9137e-04 3.3133e-05 2.1990e-01 6.9366e-06
11 0.0000e+00 0.0000e+00 3.3298e-05 1.6634e-04 3.3298e-05 2.1977e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3436e-05 1.4846e-04 3.3436e-05 2.1965e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 4.7430e-05 2.3818e-04 3.3557e-05 2.1945e-01 1.3873e-05
14 5.0000e-04 0.0000e+00 4.0709e-05 2.5710e-04 3.3772e-05 2.1923e-01 6.9366e-06
15 5.0000e-04 0.0000e+00 4.0945e-05 2.7761e-04 3.4009e-05 2.1898e-01 6.9366e-06
16 1.0000e-03 0.0000e+00 4.8142e-05 3.4913e-04 3.4268e-05 2.1867e-01 1.3873e-05
17 0.0000e+00 0.0000e+00 3.4607e-05 3.0303e-04 3.4607e-05 2.1840e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.4899e-05 2.7080e-04 3.4899e-05 2.1816e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.5157e-05 2.4317e-04 3.5157e-05 2.1796e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.5386e-05 2.1891e-04 3.5386e-05 2.1777e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.5590e-05 1.9745e-04 3.5590e-05 2.1761e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.5770e-05 1.7834e-04 3.5770e-05 2.1747e-01 0.0000e+00
23 0.0000e+00 4.9200e-05 3.5930e-05 1.6127e-04 3.5930e-05 2.1734e-01 0.0000e+00
24 3.0000e-03 6.0200e-05 7.9414e-05 4.5212e-04 3.6071e-05 2.1693e-01 4.3343e-05
25 2.0000e-03 6.6600e-05 6.4172e-05 5.8638e-04 3.6543e-05 2.1638e-01 2.7629e-05
26 5.5000e-03 6.9600e-05 1.3197e-04 1.0687e-03 3.7176e-05 2.1535e-01 9.4798e-05
27 6.0000e-03 6.6600e-05 1.4730e-04 1.5313e-03 3.8394e-05 2.1385e-01 1.0891e-04
28 1.0000e-03 6.0200e-05 5.7471e-05 1.4283e-03 4.0228e-05 2.1246e-01 1.7243e-05
29 2.5000e-03 4.9200e-05 8.7084e-05 1.5260e-03 4.2011e-05 2.1098e-01 4.5072e-05
30 0.0000e+00 3.4800e-05 4.4006e-05 1.3500e-03 4.4006e-05 2.0967e-01 0.0000e+00
31 0.0000e+00 1.6800e-05 4.5839e-05 1.2089e-03 4.5839e-05 2.0851e-01 0.0000e+00
32 1.0000e-03 0.0000e+00 6.4148e-05 1.1828e-03 4.7535e-05 2.0738e-01 1.6613e-05
33 5.0000e-04 0.0000e+00 5.8489e-05 1.1109e-03 4.9252e-05 2.0631e-01 9.2369e-06
34 0.0000e+00 0.0000e+00 5.0913e-05 9.9409e-04 5.0913e-05 2.0537e-01 0.0000e+00
35 0.0000e+00 0.0000e+00 5.2436e-05 8.9363e-04 5.2436e-05 2.0453e-01 0.0000e+00
36 0.0000e+00 0.0000e+00 5.3833e-05 8.0433e-04 5.3833e-05 2.0378e-01 0.0000e+00
37 0.0000e+00 0.0000e+00 5.5111e-05 7.2451e-04 5.5111e-05 2.0311e-01 0.0000e+00
38 0.0000e+00 0.0000e+00 5.6276e-05 6.5297e-04 5.6276e-05 2.0251e-01 0.0000e+00
39 0.0000e+00 0.0000e+00 5.7335e-05 5.8875e-04 5.7335e-05 2.0198e-01 0.0000e+00
40 0.0000e+00 0.0000e+00 5.8295e-05 5.3103e-04 5.8295e-05 2.0151e-01 0.0000e+00
41 0.0000e+00 0.0000e+00 5.9162e-05 4.7913e-04 5.9162e-05 2.0109e-01 0.0000e+00
42 0.0000e+00 0.0000e+00 5.9944e-05 4.3243e-04 5.9944e-05 2.0072e-01 0.0000e+00
43 0.0000e+00 0.0000e+00 6.0646e-05 3.9039e-04 6.0646e-05 2.0039e-01 0.0000e+00
44 0.0000e+00 0.0000e+00 6.1274e-05 3.5255e-04 6.1274e-05 2.0010e-01 0.0000e+00
45 0.0000e+00 3.3800e-05 6.1834e-05 3.1846e-04 6.1834e-05 1.9984e-01 0.0000e+00
46 1.0000e-03 6.5200e-05 8.0182e-05 3.9964e-04 6.2332e-05 1.9950e-01 1.7849e-05
47 0.0000e+00 9.2300e-05 6.2993e-05 3.4821e-04 6.2993e-05 1.9922e-01 0.0000e+00
48 5.0000e-04 1.1300e-04 6.9886e-05 3.5171e-04 6.3557e-05 1.9893e-01 6.3295e-06
49 0.0000e+00 1.2500e-04 6.4132e-05 3.1146e-04 6.4132e-05 1.9868e-01 0.0000e+00
50 1.0000e-03 1.3050e-04 7.8711e-05 3.6855e-04 6.4629e-05 1.9838e-01 1.4082e-05
51 2.5000e-03 1.2500e-04 1.1167e-04 5.9636e-04 6.5246e-05 1.9785e-01 4.6423e-05
52 3.0000e-03 1.1300e-04 1.2821e-04 8.3491e-04 6.6338e-05 1.9708e-01 6.1872e-05
53 2.5000e-03 9.2300e-05 1.2248e-04 9.8429e-04 6.7950e-05 1.9616e-01 5.4533e-05
54 3.0000e-03 6.5200e-05 1.4073e-04 1.1808e-03 6.9924e-05 1.9505e-01 7.0803e-05
55 2.5000e-03 3.1600e-05 1.3168e-04 1.3020e-03 7.2394e-05 1.9382e-01 5.9288e-05
56 2.0000e-03 0.0000e+00 1.2316e-04 1.3611e-03 7.5230e-05 1.9253e-01 4.7931e-05
57 1.0000e-03 0.0000e+00 1.0267e-04 1.3062e-03 7.8315e-05 1.9131e-01 2.4350e-05
58 1.0000e-03 0.0000e+00 1.0573e-04 1.2671e-03 8.1378e-05 1.9012e-01 2.4350e-05
59 0.0000e+00 0.0000e+00 8.4450e-05 1.1155e-03 8.4450e-05 1.8909e-01 0.0000e+00
60 5.0000e-04 0.0000e+00 9.9391e-05 1.0508e-03 8.7216e-05 1.8813e-01 1.2175e-05
