Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-10369

TL =     8.30
SUMAC =     1.00
SZQ =       0.03690
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.22681
Initial SBAR             0.22481
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 2.2485e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 2.2488e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 2.2491e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 2.2495e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 4.2271e-05 7.5849e-05 3.2666e-05 2.2490e-01 9.6051e-06
6 5.0000e-04 3.2300e-05 3.8435e-05 1.0758e-04 3.2710e-05 2.2483e-01 5.7247e-06
7 5.0000e-04 1.5600e-05 3.8680e-05 1.3940e-04 3.2787e-05 2.2472e-01 5.8936e-06
8 0.0000e+00 0.0000e+00 3.2896e-05 1.2146e-04 3.2896e-05 2.2463e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 3.9091e-05 1.5732e-04 3.2987e-05 2.2451e-01 6.1040e-06
10 5.0000e-04 0.0000e+00 3.9416e-05 1.8790e-04 3.3116e-05 2.2435e-01 6.3006e-06
11 0.0000e+00 0.0000e+00 3.3276e-05 1.6537e-04 3.3276e-05 2.2422e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3414e-05 1.4899e-04 3.3414e-05 2.2411e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 4.6136e-05 2.3464e-04 3.3535e-05 2.2390e-01 1.2601e-05
14 5.0000e-04 0.0000e+00 4.0047e-05 2.5427e-04 3.3746e-05 2.2368e-01 6.3006e-06
15 5.0000e-04 0.0000e+00 4.0280e-05 2.7534e-04 3.3980e-05 2.2344e-01 6.3006e-06
16 1.0000e-03 0.0000e+00 4.7851e-05 3.4366e-04 3.4237e-05 2.2313e-01 1.3614e-05
17 0.0000e+00 0.0000e+00 3.4570e-05 3.0318e-04 3.4570e-05 2.2286e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.4861e-05 2.7338e-04 3.4861e-05 2.2263e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.5122e-05 2.4728e-04 3.5122e-05 2.2241e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.5355e-05 2.2413e-04 3.5355e-05 2.2222e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.5565e-05 2.0344e-04 3.5565e-05 2.2206e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.5752e-05 1.8485e-04 3.5752e-05 2.2191e-01 0.0000e+00
23 0.0000e+00 4.9200e-05 3.5919e-05 1.6810e-04 3.5919e-05 2.2178e-01 0.0000e+00
