Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-12129

TL =     7.72
SUMAC =     1.00
SZQ =       0.06556
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.24521
Initial SBAR             0.24321
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 2.4324e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 2.4327e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 2.4331e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 2.4334e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 3.8556e-05 6.9735e-05 3.2666e-05 2.4330e-01 5.8896e-06
6 5.0000e-04 3.2300e-05 3.6214e-05 1.0048e-04 3.2704e-05 2.4323e-01 3.5103e-06
7 5.0000e-04 1.5600e-05 3.6387e-05 1.3061e-04 3.2773e-05 2.4314e-01 3.6138e-06
8 0.0000e+00 0.0000e+00 3.2874e-05 1.1501e-04 3.2874e-05 2.4305e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 3.6701e-05 1.4789e-04 3.2958e-05 2.4294e-01 3.7428e-06
10 5.0000e-04 0.0000e+00 3.6940e-05 1.7688e-04 3.3077e-05 2.4280e-01 3.8634e-06
11 0.0000e+00 0.0000e+00 3.3226e-05 1.5698e-04 3.3226e-05 2.4267e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3354e-05 1.4171e-04 3.3354e-05 2.4256e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 4.1194e-05 2.2028e-04 3.3467e-05 2.4238e-01 7.7268e-06
14 5.0000e-04 0.0000e+00 3.7527e-05 2.4004e-04 3.3663e-05 2.4217e-01 3.8634e-06
15 5.0000e-04 0.0000e+00 3.7745e-05 2.6011e-04 3.3881e-05 2.4194e-01 3.8634e-06
16 1.0000e-03 0.0000e+00 4.1848e-05 3.2467e-04 3.4122e-05 2.4165e-01 7.7268e-06
17 0.0000e+00 0.0000e+00 3.4433e-05 2.8799e-04 3.4433e-05 2.4140e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.4707e-05 2.6029e-04 3.4707e-05 2.4117e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.4952e-05 2.3590e-04 3.4952e-05 2.4097e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.5172e-05 2.1416e-04 3.5172e-05 2.4079e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.5370e-05 1.9465e-04 3.5370e-05 2.4064e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.5546e-05 1.7710e-04 3.5546e-05 2.4049e-01 0.0000e+00
23 0.0000e+00 4.9200e-05 3.5704e-05 1.6126e-04 3.5704e-05 2.4037e-01 0.0000e+00
24 3.0000e-03 6.0200e-05 5.8624e-05 4.1672e-04 3.5844e-05 2.3999e-01 2.2780e-05
25 2.0000e-03 6.6600e-05 5.1262e-05 5.4171e-04 3.6273e-05 2.3948e-01 1.4988e-05
26 5.5000e-03 6.9600e-05 8.8305e-05 9.7715e-04 3.6851e-05 2.3854e-01 5.1454e-05
27 6.0000e-03 6.6600e-05 9.7083e-05 1.4045e-03 3.7950e-05 2.3717e-01 5.9133e-05
28 1.0000e-03 6.0200e-05 4.9286e-05 1.3319e-03 3.9605e-05 2.3588e-01 9.6803e-06
29 2.5000e-03 4.9200e-05 6.6541e-05 1.4261e-03 4.1238e-05 2.3450e-01 2.5303e-05
30 0.0000e+00 3.4800e-05 4.3061e-05 1.2813e-03 4.3061e-05 2.3326e-01 0.0000e+00
31 0.0000e+00 1.6800e-05 4.4760e-05 1.1596e-03 4.4760e-05 2.3214e-01 0.0000e+00
32 1.0000e-03 0.0000e+00 5.5674e-05 1.1366e-03 4.6347e-05 2.3105e-01 9.3263e-06
33 5.0000e-04 0.0000e+00 5.3139e-05 1.0748e-03 4.7954e-05 2.3003e-01 5.1855e-06
34 0.0000e+00 0.0000e+00 4.9517e-05 9.7220e-04 4.9517e-05 2.2910e-01 0.0000e+00
35 0.0000e+00 0.0000e+00 5.0966e-05 8.8172e-04 5.0966e-05 2.2827e-01 0.0000e+00
36 0.0000e+00 0.0000e+00 5.2306e-05 8.0019e-04 5.2306e-05 2.2753e-01 0.0000e+00
37 0.0000e+00 0.0000e+00 5.3543e-05 7.2648e-04 5.3543e-05 2.2685e-01 0.0000e+00
38 0.0000e+00 0.0000e+00 5.4681e-05 6.5975e-04 5.4681e-05 2.2625e-01 0.0000e+00
39 0.0000e+00 0.0000e+00 5.5725e-05 5.9928e-04 5.5725e-05 2.2570e-01 0.0000e+00
40 0.0000e+00 0.0000e+00 5.6680e-05 5.4446e-04 5.6680e-05 2.2522e-01 0.0000e+00
41 0.0000e+00 0.0000e+00 5.7550e-05 4.9475e-04 5.7550e-05 2.2478e-01 0.0000e+00
42 0.0000e+00 0.0000e+00 5.8342e-05 4.4965e-04 5.8342e-05 2.2439e-01 0.0000e+00
43 0.0000e+00 0.0000e+00 5.9060e-05 4.0874e-04 5.9060e-05 2.2404e-01 0.0000e+00
44 0.0000e+00 0.0000e+00 5.9709e-05 3.7161e-04 5.9709e-05 2.2373e-01 0.0000e+00
45 0.0000e+00 3.3800e-05 6.0293e-05 3.3792e-04 6.0293e-05 2.2345e-01 0.0000e+00
46 1.0000e-03 6.5200e-05 7.0839e-05 4.0460e-04 6.0819e-05 2.2311e-01 1.0020e-05
47 0.0000e+00 9.2300e-05 6.1476e-05 3.6023e-04 6.1476e-05 2.2281e-01 0.0000e+00
48 5.0000e-04 1.1300e-04 6.5606e-05 3.6059e-04 6.2052e-05 2.2251e-01 3.5533e-06
49 0.0000e+00 1.2500e-04 6.2634e-05 3.2406e-04 6.2634e-05 2.2225e-01 0.0000e+00
50 1.0000e-03 1.3050e-04 7.1053e-05 3.7062e-04 6.3148e-05 2.2194e-01 7.9056e-06
51 2.5000e-03 1.2500e-04 9.1130e-05 5.6725e-04 6.3757e-05 2.2144e-01 2.7372e-05
52 3.0000e-03 1.1300e-04 1.0016e-04 7.8390e-04 6.4768e-05 2.2072e-01 3.5387e-05
53 2.5000e-03 9.2300e-05 9.7276e-05 9.2655e-04 6.6240e-05 2.1986e-01 3.1035e-05
54 3.0000e-03 6.5200e-05 1.0601e-04 1.1106e-03 6.8045e-05 2.1881e-01 3.7964e-05
55 2.5000e-03 3.1600e-05 1.0209e-04 1.2280e-03 7.0299e-05 2.1766e-01 3.1789e-05
56 2.0000e-03 0.0000e+00 9.8589e-05 1.2895e-03 7.2889e-05 2.1644e-01 2.5700e-05
57 1.0000e-03 0.0000e+00 8.8769e-05 1.2494e-03 7.5713e-05 2.1527e-01 1.3056e-05
58 1.0000e-03 0.0000e+00 9.1598e-05 1.2188e-03 7.8542e-05 2.1413e-01 1.3056e-05
59 0.0000e+00 0.0000e+00 8.1391e-05 1.0891e-03 8.1391e-05 2.1312e-01 0.0000e+00
60 5.0000e-04 0.0000e+00 9.0523e-05 1.0303e-03 8.3995e-05 2.1217e-01 6.5281e-06
61 5.0000e-04 0.0000e+00 9.3044e-05 9.7613e-04 8.6516e-05 2.1128e-01 6.5281e-06
62 0.0000e+00 0.0000e+00 8.8955e-05 8.7458e-04 8.8955e-05 2.1050e-01 0.0000e+00
63 0.0000e+00 0.0000e+00 9.1166e-05 7.8631e-04 9.1166e-05 2.0980e-01 0.0000e+00
64 0.0000e+00 0.0000e+00 9.3168e-05 7.0759e-04 9.3168e-05 2.0919e-01 0.0000e+00
65 0.0000e+00 0.0000e+00 9.4974e-05 6.3712e-04 9.4974e-05 2.0864e-01 0.0000e+00
66 0.0000e+00 0.0000e+00 9.6597e-05 5.7390e-04 9.6597e-05 2.0817e-01 0.0000e+00
67 0.0000e+00 0.0000e+00 9.8048e-05 5.1715e-04 9.8048e-05 2.0775e-01 0.0000e+00
68 0.0000e+00 0.0000e+00 9.9341e-05 4.6616e-04 9.9341e-05 2.0738e-01 0.0000e+00
69 0.0000e+00 4.1400e-05 1.0049e-04 4.2034e-04 1.0049e-04 2.0706e-01 0.0000e+00
70 0.0000e+00 7.9800e-05 1.0150e-04 3.7913e-04 1.0150e-04 2.0678e-01 0.0000e+00
71 0.0000e+00 1.1290e-04 1.0238e-04 3.4207e-04 1.0238e-04 2.0654e-01 0.0000e+00
72 0.0000e+00 1.3830e-04 1.0315e-04 3.0872e-04 1.0315e-04 2.0634e-01 0.0000e+00
73 0.0000e+00 1.5300e-04 1.0381e-04 2.7870e-04 1.0381e-04 2.0616e-01 0.0000e+00
74 0.0000e+00 1.5980e-04 1.0438e-04 2.5168e-04 1.0438e-04 2.0602e-01 0.0000e+00
75 0.0000e+00 1.5300e-04 1.0487e-04 2.2735e-04 1.0487e-04 2.0589e-01 0.0000e+00
76 0.0000e+00 1.3830e-04 1.0527e-04 2.0543e-04 1.0527e-04 2.0579e-01 0.0000e+00
77 0.0000e+00 1.1290e-04 1.0560e-04 1.8568e-04 1.0560e-04 2.0571e-01 0.0000e+00
78 0.0000e+00 7.9800e-05 1.0586e-04 1.6788e-04 1.0586e-04 2.0565e-01 0.0000e+00
79 0.0000e+00 3.8700e-05 1.0607e-04 1.5183e-04 1.0607e-04 2.0561e-01 0.0000e+00
80 0.0000e+00 0.0000e+00 1.0622e-04 1.3736e-04 1.0622e-04 2.0557e-01 0.0000e+00
81 0.0000e+00 0.0000e+00 1.0632e-04 1.2430e-04 1.0632e-04 2.0556e-01 0.0000e+00
82 0.0000e+00 0.0000e+00 1.0638e-04 1.1252e-04 1.0638e-04 2.0555e-01 0.0000e+00
83 0.0000e+00 0.0000e+00 1.0640e-04 1.0189e-04 1.0640e-04 2.0555e-01 0.0000e+00
84 0.0000e+00 0.0000e+00 1.0639e-04 9.2288e-05 1.0639e-04 2.0557e-01 0.0000e+00
85 0.0000e+00 0.0000e+00 1.0634e-04 8.3615e-05 1.0634e-04 2.0559e-01 0.0000e+00
86 0.0000e+00 0.0000e+00 1.0627e-04 7.5780e-05 1.0627e-04 2.0562e-01 0.0000e+00
87 0.0000e+00 0.0000e+00 1.0616e-04 6.8699e-05 1.0616e-04 2.0566e-01 0.0000e+00
88 0.0000e+00 0.0000e+00 1.0604e-04 6.2297e-05 1.0604e-04 2.0570e-01 0.0000e+00
89 0.0000e+00 0.0000e+00 1.0590e-04 5.6507e-05 1.0590e-04 2.0575e-01 0.0000e+00
90 0.0000e+00 0.0000e+00 1.0573e-04 5.1270e-05 1.0573e-04 2.0581e-01 0.0000e+00
91 0.0000e+00 0.0000e+00 1.0555e-04 4.6531e-05 1.0555e-04 2.0587e-01 0.0000e+00
92 0.0000e+00 0.0000e+00 1.0536e-04 4.2242e-05 1.0536e-04 2.0593e-01 0.0000e+00
93 0.0000e+00 1.9100e-05 1.0515e-04 3.8358e-05 1.0515e-04 2.0600e-01 0.0000e+00
94 0.0000e+00 3.6800e-05 1.0493e-04 3.4841e-05 1.0493e-04 2.0607e-01 0.0000e+00
95 0.0000e+00 5.2100e-05 1.0470e-04 3.1654e-05 1.0470e-04 2.0614e-01 0.0000e+00
96 0.0000e+00 6.3800e-05 1.0446e-04 2.8767e-05 1.0446e-04 2.0622e-01 0.0000e+00
97 5.0000e-04 7.0600e-05 1.0422e-04 2.6149e-05 1.0422e-04 2.0629e-01 0.0000e+00
98 5.0000e-04 7.3700e-05 1.0396e-04 2.3776e-05 1.0396e-04 2.0637e-01 0.0000e+00
99 0.0000e+00 7.0600e-05 1.0370e-04 2.1623e-05 1.0370e-04 2.0646e-01 0.0000e+00
100 0.0000e+00 6.3800e-05 1.0344e-04 1.9670e-05 1.0344e-04 2.0654e-01 0.0000e+00
101 0.0000e+00 5.2100e-05 1.0317e-04 1.7898e-05 1.0317e-04 2.0662e-01 0.0000e+00
102 0.0000e+00 3.6800e-05 1.0289e-04 1.6289e-05 1.0289e-04 2.0671e-01 0.0000e+00
103 0.0000e+00 1.7800e-05 1.0261e-04 1.4828e-05 1.0261e-04 2.0680e-01 0.0000e+00
104 0.0000e+00 0.0000e+00 1.0233e-04 1.3502e-05 1.0233e-04 2.0689e-01 0.0000e+00
105 0.0000e+00 0.0000e+00 1.0205e-04 1.2297e-05 1.0205e-04 2.0698e-01 0.0000e+00
106 0.0000e+00 0.0000e+00 1.0176e-04 1.1202e-05 1.0176e-04 2.0707e-01 0.0000e+00
107 0.0000e+00 0.0000e+00 1.0147e-04 1.0206e-05 1.0147e-04 2.0716e-01 0.0000e+00
108 0.0000e+00 0.0000e+00 1.0119e-04 9.3015e-06 1.0119e-04 2.0725e-01 0.0000e+00
109 0.0000e+00 0.0000e+00 1.0090e-04 8.4787e-06 1.0090e-04 2.0734e-01 0.0000e+00
110 0.0000e+00 0.0000e+00 1.0060e-04 7.7303e-06 1.0060e-04 2.0744e-01 0.0000e+00
111 5.0000e-04 0.0000e+00 1.0031e-04 7.0495e-06 1.0031e-04 2.0753e-01 0.0000e+00
112 0.0000e+00 0.0000e+00 1.0002e-04 6.4299e-06 1.0002e-04 2.0762e-01 0.0000e+00
113 0.0000e+00 0.0000e+00 9.9729e-05 5.8656e-06 9.9729e-05 2.0772e-01 0.0000e+00
114 0.0000e+00 0.0000e+00 9.9437e-05 5.3523e-06 9.9437e-05 2.0781e-01 0.0000e+00
115 0.0000e+00 0.0000e+00 9.9145e-05 4.8848e-06 9.9145e-05 2.0791e-01 0.0000e+00
116 0.0000e+00 0.0000e+00 9.8853e-05 4.4590e-06 9.8853e-05 2.0800e-01 0.0000e+00
117 0.0000e+00 1.0200e-05 9.8562e-05 4.0711e-06 9.8562e-05 2.0809e-01 0.0000e+00
118 0.0000e+00 1.9800e-05 9.8271e-05 3.7177e-06 9.8271e-05 2.0819e-01 0.0000e+00
119 0.0000e+00 2.8000e-05 9.7981e-05 3.3955e-06 9.7981e-05 2.0828e-01 0.0000e+00
120 0.0000e+00 3.4200e-05 9.7692e-05 3.1019e-06 9.7692e-05 2.0838e-01 0.0000e+00
121 0.0000e+00 3.7900e-05 9.7404e-05 2.8341e-06 9.7404e-05 2.0847e-01 0.0000e+00
122 0.0000e+00 3.9500e-05 9.7117e-05 2.5900e-06 9.7117e-05 2.0857e-01 0.0000e+00
123 0.0000e+00 3.7900e-05 9.6830e-05 2.3673e-06 9.6830e-05 2.0866e-01 0.0000e+00
124 0.0000e+00 3.4200e-05 9.6545e-05 2.1637e-06 9.6545e-05 2.0876e-01 0.0000e+00
125 0.0000e+00 2.8000e-05 9.6260e-05 1.9783e-06 9.6260e-05 2.0885e-01 0.0000e+00
126 0.0000e+00 1.9800e-05 9.5977e-05 1.8092e-06 9.5977e-05 2.0894e-01 0.0000e+00
127 0.0000e+00 9.6000e-06 9.5695e-05 1.6547e-06 9.5695e-05 2.0904e-01 0.0000e+00
128 0.0000e+00 0.0000e+00 9.5414e-05 1.5138e-06 9.5414e-05 2.0913e-01 0.0000e+00
129 0.0000e+00 0.0000e+00 9.5135e-05 1.3850e-06 9.5135e-05 2.0923e-01 0.0000e+00
130 0.0000e+00 0.0000e+00 9.4856e-05 1.2674e-06 9.4856e-05 2.0932e-01 0.0000e+00
131 0.0000e+00 0.0000e+00 9.4579e-05 1.1600e-06 9.4579e-05 2.0941e-01 0.0000e+00
132 0.0000e+00 0.0000e+00 9.4304e-05 1.0618e-06 9.4304e-05 2.0951e-01 0.0000e+00
133 0.0000e+00 0.0000e+00 9.4029e-05 9.7211e-07 9.4029e-05 2.0960e-01 0.0000e+00
134 0.0000e+00 0.0000e+00 9.3756e-05 8.8956e-07 9.3756e-05 2.0969e-01 0.0000e+00
135 0.0000e+00 0.0000e+00 9.3485e-05 8.1469e-07 9.3485e-05 2.0978e-01 0.0000e+00
136 0.0000e+00 0.0000e+00 9.3214e-05 7.4624e-07 9.3214e-05 2.0988e-01 0.0000e+00
137 0.0000e+00 0.0000e+00 9.2945e-05 6.8363e-07 9.2945e-05 2.0997e-01 0.0000e+00
138 0.0000e+00 0.0000e+00 9.2678e-05 6.2637e-07 9.2678e-05 2.1006e-01 0.0000e+00
139 0.0000e+00 0.0000e+00 9.2411e-05 5.7399e-07 9.2411e-05 2.1015e-01 0.0000e+00
140 0.0000e+00 0.0000e+00 9.2147e-05 5.2606e-07 9.2147e-05 2.1025e-01 0.0000e+00
141 5.0000e-04 4.1400e-05 9.1883e-05 4.8220e-07 9.1883e-05 2.1034e-01 0.0000e+00
142 0.0000e+00 7.9900e-05 9.1621e-05 4.4206e-07 9.1621e-05 2.1043e-01 0.0000e+00
143 0.0000e+00 1.1300e-04 9.1360e-05 4.0532e-07 9.1360e-05 2.1052e-01 0.0000e+00
144 0.0000e+00 1.3840e-04 9.1101e-05 3.7168e-07 9.1101e-05 2.1061e-01 0.0000e+00
145 0.0000e+00 1.5310e-04 9.0843e-05 3.4018e-07 9.0843e-05 2.1070e-01 0.0000e+00
146 0.0000e+00 1.5990e-04 9.0587e-05 3.1206e-07 9.0587e-05 2.1079e-01 0.0000e+00
147 0.0000e+00 1.5310e-04 9.0331e-05 2.8630e-07 9.0331e-05 2.1088e-01 0.0000e+00
148 0.0000e+00 1.3840e-04 9.0078e-05 2.6270e-07 9.0078e-05 2.1097e-01 0.0000e+00
149 0.0000e+00 1.1300e-04 8.9825e-05 2.4108e-07 8.9825e-05 2.1106e-01 0.0000e+00
150 0.0000e+00 7.9900e-05 8.9574e-05 2.2127e-07 8.9574e-05 2.1115e-01 0.0000e+00
151 0.0000e+00 3.8700e-05 8.9324e-05 2.0311e-07 8.9324e-05 2.1124e-01 0.0000e+00
152 0.0000e+00 0.0000e+00 8.9076e-05 1.8646e-07 8.9076e-05 2.1133e-01 0.0000e+00
153 0.0000e+00 0.0000e+00 8.8829e-05 1.7120e-07 8.8829e-05 2.1142e-01 0.0000e+00
154 0.0000e+00 0.0000e+00 8.8583e-05 1.5720e-07 8.8583e-05 2.1150e-01 0.0000e+00
155 0.0000e+00 0.0000e+00 8.8339e-05 1.4437e-07 8.8339e-05 2.1159e-01 0.0000e+00
156 0.0000e+00 0.0000e+00 8.8095e-05 1.3170e-07 8.8095e-05 2.1168e-01 0.0000e+00
157 0.0000e+00 0.0000e+00 8.7854e-05 1.2100e-07 8.7854e-05 2.1177e-01 0.0000e+00
158 0.0000e+00 0.0000e+00 8.7613e-05 1.1119e-07 8.7613e-05 2.1186e-01 0.0000e+00
159 0.0000e+00 0.0000e+00 8.7374e-05 1.0218e-07 8.7374e-05 2.1194e-01 0.0000e+00
160 0.0000e+00 0.0000e+00 8.7136e-05 9.3917e-08 8.7136e-05 2.1203e-01 0.0000e+00
161 0.0000e+00 0.0000e+00 8.6899e-05 8.6328e-08 8.6899e-05 2.1212e-01 0.0000e+00
162 0.0000e+00 0.0000e+00 8.6664e-05 7.9361e-08 8.6664e-05 2.1220e-01 0.0000e+00
163 0.0000e+00 0.0000e+00 8.6430e-05 7.2964e-08 8.6430e-05 2.1229e-01 0.0000e+00
164 0.0000e+00 0.0000e+00 8.6197e-05 6.7090e-08 8.6197e-05 2.1238e-01 0.0000e+00
165 0.0000e+00 1.7800e-05 8.5965e-05 6.1695e-08 8.5965e-05 2.1246e-01 0.0000e+00
166 0.0000e+00 3.4400e-05 8.5734e-05 5.5472e-08 8.5734e-05 2.1255e-01 0.0000e+00
167 0.0000e+00 4.8600e-05 8.5505e-05 5.1050e-08 8.5505e-05 2.1263e-01 0.0000e+00
168 0.0000e+00 5.9500e-05 8.5277e-05 4.6985e-08 8.5277e-05 2.1272e-01 0.0000e+00
169 0.0000e+00 6.5900e-05 8.5050e-05 4.3248e-08 8.5050e-05 2.1280e-01 0.0000e+00
170 0.0000e+00 6.8800e-05 8.4825e-05 3.9811e-08 8.4825e-05 2.1289e-01 0.0000e+00
171 0.0000e+00 6.5900e-05 8.4600e-05 3.6651e-08 8.4600e-05 2.1297e-01 0.0000e+00
172 0.0000e+00 5.9500e-05 8.4377e-05 3.3744e-08 8.4377e-05 2.1306e-01 0.0000e+00
173 0.0000e+00 4.8600e-05 8.4155e-05 3.1071e-08 8.4155e-05 2.1314e-01 0.0000e+00
174 0.0000e+00 3.4400e-05 8.3934e-05 2.8612e-08 8.3934e-05 2.1322e-01 0.0000e+00
175 0.0000e+00 1.6600e-05 8.3714e-05 2.6350e-08 8.3714e-05 2.1331e-01 0.0000e+00
176 0.0000e+00 0.0000e+00 8.3496e-05 2.4268e-08 8.3496e-05 2.1339e-01 0.0000e+00
177 0.0000e+00 0.0000e+00 8.3278e-05 2.0936e-08 8.3278e-05 2.1348e-01 0.0000e+00
178 0.0000e+00 0.0000e+00 8.3062e-05 1.9307e-08 8.3062e-05 2.1356e-01 0.0000e+00
179 0.0000e+00 0.0000e+00 8.2846e-05 1.7806e-08 8.2846e-05 2.1364e-01 0.0000e+00
180 0.0000e+00 0.0000e+00 8.2632e-05 1.6423e-08 8.2632e-05 2.1372e-01 0.0000e+00
181 0.0000e+00 0.0000e+00 8.2419e-05 1.5149e-08 8.2419e-05 2.1381e-01 0.0000e+00
182 0.0000e+00 0.0000e+00 8.2207e-05 1.3974e-08 8.2207e-05 2.1389e-01 0.0000e+00
183 0.0000e+00 0.0000e+00 8.1996e-05 1.2891e-08 8.1996e-05 2.1397e-01 0.0000e+00
184 0.0000e+00 0.0000e+00 8.1786e-05 1.1893e-08 8.1786e-05 2.1405e-01 0.0000e+00
185 0.0000e+00 0.0000e+00 8.1578e-05 1.0973e-08 8.1578e-05 2.1413e-01 0.0000e+00
186 0.0000e+00 0.0000e+00 8.1370e-05 1.0125e-08 8.1370e-05 2.1421e-01 0.0000e+00
187 0.0000e+00 0.0000e+00 8.1163e-05 9.3429e-09 8.1163e-05 2.1430e-01 0.0000e+00
188 0.0000e+00 0.0000e+00 8.0958e-05 7.3081e-09 8.0958e-05 2.1438e-01 0.0000e+00
189 0.0000e+00 4.5600e-05 8.0753e-05 6.7572e-09 8.0753e-05 2.1446e-01 0.0000e+00
190 5.0000e-04 8.7900e-05 8.0550e-05 6.2481e-09 8.0550e-05 2.1454e-01 0.0000e+00
191 0.0000e+00 1.2440e-04 8.0347e-05 5.7777e-09 8.0347e-05 2.1462e-01 0.0000e+00
192 0.0000e+00 1.5230e-04 8.0146e-05 5.3429e-09 8.0146e-05 2.1470e-01 0.0000e+00
193 0.0000e+00 1.6850e-04 7.9945e-05 4.9411e-09 7.9945e-05 2.1478e-01 0.0000e+00
194 0.0000e+00 1.7590e-04 7.9746e-05 4.5697e-09 7.9746e-05 2.1486e-01 0.0000e+00
195 0.0000e+00 1.6850e-04 7.9547e-05 4.2265e-09 7.9547e-05 2.1494e-01 0.0000e+00
196 0.0000e+00 1.5230e-04 7.9350e-05 3.9092e-09 7.9350e-05 2.1502e-01 0.0000e+00
197 0.0000e+00 1.2440e-04 7.9153e-05 3.6159e-09 7.9153e-05 2.1510e-01 0.0000e+00
198 0.0000e+00 8.7900e-05 7.8958e-05 3.3448e-09 7.8958e-05 2.1518e-01 0.0000e+00
