Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-13229

TL =     8.87
SUMAC =     1.00
SZQ =       0.02089
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.20861
Initial SBAR             0.20661
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 2.0664e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 2.0668e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 2.0671e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 2.0674e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 4.6784e-05 8.5328e-05 3.2666e-05 2.0669e-01 1.4118e-05
6 5.0000e-04 3.2300e-05 4.1135e-05 1.1825e-04 3.2720e-05 2.0660e-01 8.4148e-06
7 5.0000e-04 1.5600e-05 4.1470e-05 1.5142e-04 3.2807e-05 2.0649e-01 8.6630e-06
8 0.0000e+00 0.0000e+00 3.2929e-05 1.2849e-04 3.2929e-05 2.0639e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 4.2000e-05 1.6783e-04 3.3028e-05 2.0626e-01 8.9723e-06
10 5.0000e-04 0.0000e+00 4.2428e-05 1.9998e-04 3.3167e-05 2.0609e-01 9.2613e-06
11 0.0000e+00 0.0000e+00 3.3340e-05 1.7188e-04 3.3340e-05 2.0595e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3485e-05 1.5257e-04 3.3485e-05 2.0583e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 5.2132e-05 2.4899e-04 3.3610e-05 2.0562e-01 1.8523e-05
14 5.0000e-04 0.0000e+00 4.3098e-05 2.6715e-04 3.3837e-05 2.0538e-01 9.2613e-06
15 5.0000e-04 0.0000e+00 4.3346e-05 2.8807e-04 3.4085e-05 2.0513e-01 9.2613e-06
16 1.0000e-03 0.0000e+00 5.2879e-05 3.6384e-04 3.4356e-05 2.0480e-01 1.8523e-05
17 0.0000e+00 0.0000e+00 3.4712e-05 3.1186e-04 3.4712e-05 2.0452e-01 0.0000e+00
