Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-13959

TL =     8.13
SUMAC =     1.00
SZQ =       0.04366
Subcatchment routing data:
Maximum Routing Delay       0.55556
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.23220
Initial SBAR             0.23020
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 2.3023e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 2.3026e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 2.3030e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 2.3033e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 4.1037e-05 7.7048e-05 3.2666e-05 2.3028e-01 8.3707e-06
6 5.0000e-04 3.2300e-05 3.7700e-05 1.0847e-04 3.2711e-05 2.3021e-01 4.9890e-06
7 5.0000e-04 1.5600e-05 3.7925e-05 1.3982e-04 3.2789e-05 2.3010e-01 5.1362e-06
8 0.0000e+00 0.0000e+00 3.2899e-05 1.2051e-04 3.2899e-05 2.3001e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 3.8308e-05 1.5636e-04 3.2989e-05 2.2989e-01 5.3196e-06
10 5.0000e-04 0.0000e+00 3.8607e-05 1.8653e-04 3.3116e-05 2.2974e-01 5.4909e-06
11 0.0000e+00 0.0000e+00 3.3275e-05 1.6257e-04 3.3275e-05 2.2961e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3410e-05 1.4541e-04 3.3410e-05 2.2950e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 4.4509e-05 2.3226e-04 3.3527e-05 2.2930e-01 1.0982e-05
14 5.0000e-04 0.0000e+00 3.9227e-05 2.5096e-04 3.3736e-05 2.2908e-01 5.4909e-06
15 5.0000e-04 0.0000e+00 3.9457e-05 2.7128e-04 3.3966e-05 2.2884e-01 5.4909e-06
16 1.0000e-03 0.0000e+00 4.5201e-05 3.4078e-04 3.4219e-05 2.2854e-01 1.0982e-05
17 0.0000e+00 0.0000e+00 3.4548e-05 2.9683e-04 3.4548e-05 2.2827e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.4833e-05 2.6581e-04 3.4833e-05 2.2804e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.5085e-05 2.3900e-04 3.5085e-05 2.2784e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.5309e-05 2.1550e-04 3.5309e-05 2.2766e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.5509e-05 1.9472e-04 3.5509e-05 2.2750e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.5686e-05 1.7624e-04 3.5686e-05 2.2736e-01 0.0000e+00
23 0.0000e+00 4.9200e-05 3.5843e-05 1.5972e-04 3.5843e-05 2.2724e-01 0.0000e+00
24 3.0000e-03 6.0200e-05 7.3610e-05 4.3679e-04 3.5982e-05 2.2683e-01 3.7628e-05
25 2.0000e-03 6.6600e-05 6.2004e-05 5.6854e-04 3.6435e-05 2.2630e-01 2.5568e-05
26 5.5000e-03 6.9600e-05 1.1299e-04 1.0399e-03 3.7046e-05 2.2530e-01 7.5940e-05
27 6.0000e-03 6.6600e-05 1.2111e-04 1.4974e-03 3.8226e-05 2.2384e-01 8.2886e-05
28 1.0000e-03 6.0200e-05 5.3055e-05 1.3988e-03 4.0009e-05 2.2248e-01 1.3046e-05
29 2.5000e-03 4.9200e-05 7.5844e-05 1.4932e-03 4.1745e-05 2.2103e-01 3.4100e-05
30 0.0000e+00 3.4800e-05 4.3682e-05 1.3221e-03 4.3682e-05 2.1975e-01 0.0000e+00
31 0.0000e+00 1.6800e-05 4.5462e-05 1.1847e-03 4.5462e-05 2.1861e-01 0.0000e+00
32 1.0000e-03 0.0000e+00 5.9678e-05 1.1601e-03 4.7110e-05 2.1750e-01 1.2569e-05
33 5.0000e-04 0.0000e+00 5.5765e-05 1.0910e-03 4.8777e-05 2.1646e-01 6.9883e-06
34 0.0000e+00 0.0000e+00 5.0392e-05 9.7787e-04 5.0392e-05 2.1553e-01 0.0000e+00
35 0.0000e+00 0.0000e+00 5.1874e-05 8.8085e-04 5.1874e-05 2.1470e-01 0.0000e+00
36 0.0000e+00 0.0000e+00 5.3235e-05 7.9469e-04 5.3235e-05 2.1396e-01 0.0000e+00
37 0.0000e+00 0.0000e+00 5.4483e-05 7.1767e-04 5.4483e-05 2.1330e-01 0.0000e+00
38 0.0000e+00 0.0000e+00 5.5624e-05 6.4861e-04 5.5624e-05 2.1270e-01 0.0000e+00
39 0.0000e+00 0.0000e+00 5.6664e-05 5.8656e-04 5.6664e-05 2.1217e-01 0.0000e+00
40 0.0000e+00 0.0000e+00 5.7611e-05 5.3074e-04 5.7611e-05 2.1170e-01 0.0000e+00
41 0.0000e+00 0.0000e+00 5.8469e-05 4.8045e-04 5.8469e-05 2.1128e-01 0.0000e+00
42 0.0000e+00 0.0000e+00 5.9245e-05 4.3511e-04 5.9245e-05 2.1090e-01 0.0000e+00
43 0.0000e+00 0.0000e+00 5.9945e-05 3.9421e-04 5.9945e-05 2.1057e-01 0.0000e+00
44 0.0000e+00 0.0000e+00 6.0574e-05 3.5728e-04 6.0574e-05 2.1027e-01 0.0000e+00
45 0.0000e+00 3.3800e-05 6.1139e-05 3.2393e-04 6.1139e-05 2.1001e-01 0.0000e+00
46 1.0000e-03 6.5200e-05 7.9156e-05 3.9905e-04 6.1643e-05 2.0967e-01 1.7514e-05
47 0.0000e+00 9.2300e-05 6.2296e-05 3.5256e-04 6.2296e-05 2.0938e-01 0.0000e+00
48 5.0000e-04 1.1300e-04 6.9134e-05 3.5422e-04 6.2864e-05 2.0909e-01 6.2707e-06
49 0.0000e+00 1.2500e-04 6.3439e-05 3.1607e-04 6.3439e-05 2.0884e-01 0.0000e+00
50 1.0000e-03 1.3050e-04 7.7893e-05 3.6800e-04 6.3941e-05 2.0853e-01 1.3951e-05
51 2.5000e-03 1.2500e-04 1.0792e-04 5.8516e-04 6.4552e-05 2.0801e-01 4.3367e-05
52 3.0000e-03 1.1300e-04 1.1823e-04 8.2084e-04 6.5611e-05 2.0726e-01 5.2619e-05
53 2.5000e-03 9.2300e-05 1.1087e-04 9.7063e-04 6.7178e-05 2.0635e-01 4.3687e-05
54 3.0000e-03 6.5200e-05 1.2232e-04 1.1652e-03 6.9101e-05 2.0526e-01 5.3217e-05
55 2.5000e-03 3.1600e-05 1.1607e-04 1.2830e-03 7.1509e-05 2.0405e-01 4.4562e-05
56 2.0000e-03 0.0000e+00 1.1029e-04 1.3399e-03 7.4268e-05 2.0278e-01 3.6026e-05
57 1.0000e-03 0.0000e+00 9.5567e-05 1.2851e-03 7.7265e-05 2.0157e-01 1.8302e-05
58 1.0000e-03 0.0000e+00 9.8539e-05 1.2468e-03 8.0237e-05 2.0041e-01 1.8302e-05
59 0.0000e+00 0.0000e+00 8.3216e-05 1.0983e-03 8.3216e-05 1.9939e-01 0.0000e+00
60 5.0000e-04 0.0000e+00 9.5049e-05 1.0366e-03 8.5898e-05 1.9844e-01 9.1511e-06
61 5.0000e-04 0.0000e+00 9.7639e-05 9.7889e-04 8.8488e-05 1.9755e-01 9.1511e-06
62 0.0000e+00 0.0000e+00 9.0985e-05 8.6744e-04 9.0985e-05 1.9677e-01 0.0000e+00
63 0.0000e+00 0.0000e+00 9.3219e-05 7.7456e-04 9.3219e-05 1.9609e-01 0.0000e+00
64 0.0000e+00 0.0000e+00 9.5225e-05 6.9289e-04 9.5225e-05 1.9549e-01 0.0000e+00
65 0.0000e+00 0.0000e+00 9.7021e-05 6.2059e-04 9.7021e-05 1.9497e-01 0.0000e+00
66 0.0000e+00 0.0000e+00 9.8621e-05 5.5636e-04 9.8621e-05 1.9451e-01 0.0000e+00
67 0.0000e+00 0.0000e+00 1.0004e-04 4.9917e-04 1.0004e-04 1.9411e-01 0.0000e+00
68 0.0000e+00 0.0000e+00 1.0130e-04 4.4816e-04 1.0130e-04 1.9377e-01 0.0000e+00
69 0.0000e+00 4.1400e-05 1.0240e-04 4.0260e-04 1.0240e-04 1.9347e-01 0.0000e+00
70 0.0000e+00 7.9800e-05 1.0337e-04 3.6188e-04 1.0337e-04 1.9321e-01 0.0000e+00
71 0.0000e+00 1.1290e-04 1.0421e-04 3.2544e-04 1.0421e-04 1.9299e-01 0.0000e+00
72 0.0000e+00 1.3830e-04 1.0493e-04 2.9281e-04 1.0493e-04 1.9280e-01 0.0000e+00
73 0.0000e+00 1.5300e-04 1.0555e-04 2.6358e-04 1.0555e-04 1.9264e-01 0.0000e+00
74 0.0000e+00 1.5980e-04 1.0607e-04 2.3737e-04 1.0607e-04 1.9251e-01 0.0000e+00
75 0.0000e+00 1.5300e-04 1.0650e-04 2.1386e-04 1.0650e-04 1.9240e-01 0.0000e+00
76 0.0000e+00 1.3830e-04 1.0686e-04 1.9276e-04 1.0686e-04 1.9232e-01 0.0000e+00
77 0.0000e+00 1.1290e-04 1.0715e-04 1.7381e-04 1.0715e-04 1.9225e-01 0.0000e+00
78 0.0000e+00 7.9800e-05 1.0737e-04 1.5679e-04 1.0737e-04 1.9220e-01 0.0000e+00
79 0.0000e+00 3.8700e-05 1.0754e-04 1.4149e-04 1.0754e-04 1.9217e-01 0.0000e+00
80 0.0000e+00 0.0000e+00 1.0765e-04 1.2773e-04 1.0765e-04 1.9215e-01 0.0000e+00
81 0.0000e+00 0.0000e+00 1.0772e-04 1.1535e-04 1.0772e-04 1.9214e-01 0.0000e+00
82 0.0000e+00 0.0000e+00 1.0775e-04 1.0422e-04 1.0775e-04 1.9214e-01 0.0000e+00
83 0.0000e+00 0.0000e+00 1.0773e-04 9.4188e-05 1.0773e-04 1.9216e-01 0.0000e+00
84 0.0000e+00 0.0000e+00 1.0769e-04 8.5155e-05 1.0769e-04 1.9218e-01 0.0000e+00
85 0.0000e+00 0.0000e+00 1.0761e-04 7.7015e-05 1.0761e-04 1.9221e-01 0.0000e+00
86 0.0000e+00 0.0000e+00 1.0751e-04 6.9677e-05 1.0751e-04 1.9225e-01 0.0000e+00
87 0.0000e+00 0.0000e+00 1.0738e-04 6.3059e-05 1.0738e-04 1.9229e-01 0.0000e+00
88 0.0000e+00 0.0000e+00 1.0723e-04 5.7089e-05 1.0723e-04 1.9234e-01 0.0000e+00
89 0.0000e+00 0.0000e+00 1.0707e-04 5.1701e-05 1.0707e-04 1.9240e-01 0.0000e+00
90 0.0000e+00 0.0000e+00 1.0688e-04 4.6835e-05 1.0688e-04 1.9246e-01 0.0000e+00
91 0.0000e+00 0.0000e+00 1.0668e-04 4.2442e-05 1.0668e-04 1.9252e-01 0.0000e+00
92 0.0000e+00 0.0000e+00 1.0647e-04 3.8472e-05 1.0647e-04 1.9259e-01 0.0000e+00
93 0.0000e+00 1.9100e-05 1.0624e-04 3.4884e-05 1.0624e-04 1.9266e-01 0.0000e+00
94 0.0000e+00 3.6800e-05 1.0600e-04 3.1640e-05 1.0600e-04 1.9273e-01 0.0000e+00
95 0.0000e+00 5.2100e-05 1.0576e-04 2.8705e-05 1.0576e-04 1.9281e-01 0.0000e+00
96 0.0000e+00 6.3800e-05 1.0550e-04 2.6051e-05 1.0550e-04 1.9289e-01 0.0000e+00
97 5.0000e-04 7.0600e-05 1.0524e-04 2.3648e-05 1.0524e-04 1.9297e-01 0.0000e+00
98 5.0000e-04 7.3700e-05 1.0497e-04 2.1473e-05 1.0497e-04 1.9306e-01 0.0000e+00
99 0.0000e+00 7.0600e-05 1.0470e-04 1.9503e-05 1.0470e-04 1.9314e-01 0.0000e+00
100 0.0000e+00 6.3800e-05 1.0442e-04 1.7718e-05 1.0442e-04 1.9323e-01 0.0000e+00
101 0.0000e+00 5.2100e-05 1.0414e-04 1.6102e-05 1.0414e-04 1.9332e-01 0.0000e+00
102 0.0000e+00 3.6800e-05 1.0385e-04 1.4636e-05 1.0385e-04 1.9341e-01 0.0000e+00
103 0.0000e+00 1.7800e-05 1.0356e-04 1.3307e-05 1.0356e-04 1.9350e-01 0.0000e+00
104 0.0000e+00 0.0000e+00 1.0327e-04 1.2102e-05 1.0327e-04 1.9359e-01 0.0000e+00
105 0.0000e+00 0.0000e+00 1.0298e-04 1.1008e-05 1.0298e-04 1.9368e-01 0.0000e+00
106 0.0000e+00 0.0000e+00 1.0268e-04 1.0016e-05 1.0268e-04 1.9377e-01 0.0000e+00
107 0.0000e+00 0.0000e+00 1.0239e-04 9.1151e-06 1.0239e-04 1.9386e-01 0.0000e+00
108 0.0000e+00 0.0000e+00 1.0209e-04 8.2973e-06 1.0209e-04 1.9396e-01 0.0000e+00
109 0.0000e+00 0.0000e+00 1.0179e-04 7.5542e-06 1.0179e-04 1.9405e-01 0.0000e+00
110 0.0000e+00 0.0000e+00 1.0149e-04 6.8795e-06 1.0149e-04 1.9415e-01 0.0000e+00
111 5.0000e-04 0.0000e+00 1.0119e-04 6.2665e-06 1.0119e-04 1.9424e-01 0.0000e+00
112 0.0000e+00 0.0000e+00 1.0089e-04 5.7093e-06 1.0089e-04 1.9434e-01 0.0000e+00
113 0.0000e+00 0.0000e+00 1.0059e-04 5.2028e-06 1.0059e-04 1.9443e-01 0.0000e+00
