Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: 1500

TL =     8.96
SUMAC =     1.00
SZQ =       0.01911
Subcatchment routing data:
Maximum Routing Delay       0.37679
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.20576
Initial SBAR             0.20376
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
52 3.0000e-03 1.1300e-04 1.5866e-04 8.6140e-04 6.6937e-05 1.8014e-01 9.1723e-05
53 2.5000e-03 9.2300e-05 1.4477e-04 1.0228e-03 6.8619e-05 1.7918e-01 7.6154e-05
54 3.0000e-03 6.5200e-05 1.6346e-04 1.2324e-03 7.0696e-05 1.7802e-01 9.2766e-05
55 2.5000e-03 3.1600e-05 1.5099e-04 1.3567e-03 7.3310e-05 1.7674e-01 7.7679e-05
56 2.0000e-03 0.0000e+00 1.3911e-04 1.4134e-03 7.6310e-05 1.7540e-01 6.2799e-05
57 1.0000e-03 0.0000e+00 1.1147e-04 1.3472e-03 7.9566e-05 1.7413e-01 3.1904e-05
58 1.0000e-03 0.0000e+00 1.1762e-04 1.2981e-03 8.2781e-05 1.7292e-01 3.4838e-05
59 0.0000e+00 0.0000e+00 8.5985e-05 1.1326e-03 8.5985e-05 1.7187e-01 0.0000e+00
60 5.0000e-04 0.0000e+00 1.0771e-04 1.0609e-03 8.8844e-05 1.7090e-01 1.8868e-05
61 5.0000e-04 0.0000e+00 1.1045e-04 9.9600e-04 9.1584e-05 1.7000e-01 1.8868e-05
62 0.0000e+00 0.0000e+00 9.4210e-05 8.7460e-04 9.4210e-05 1.6922e-01 0.0000e+00
63 0.0000e+00 0.0000e+00 9.6535e-05 7.7317e-04 9.6535e-05 1.6854e-01 0.0000e+00
64 0.0000e+00 0.0000e+00 9.8598e-05 6.8480e-04 9.8598e-05 1.6795e-01 0.0000e+00
65 0.0000e+00 0.0000e+00 1.0042e-04 6.0747e-04 1.0042e-04 1.6745e-01 0.0000e+00
66 0.0000e+00 0.0000e+00 1.0203e-04 5.3957e-04 1.0203e-04 1.6701e-01 0.0000e+00
67 0.0000e+00 0.0000e+00 1.0343e-04 4.7981e-04 1.0343e-04 1.6663e-01 0.0000e+00
68 0.0000e+00 0.0000e+00 1.0465e-04 4.2711e-04 1.0465e-04 1.6631e-01 0.0000e+00
69 0.0000e+00 4.1400e-05 1.0571e-04 3.8055e-04 1.0571e-04 1.6603e-01 0.0000e+00
70 0.0000e+00 7.9800e-05 1.0663e-04 3.3936e-04 1.0663e-04 1.6580e-01 0.0000e+00
71 0.0000e+00 1.1290e-04 1.0740e-04 3.0289e-04 1.0740e-04 1.6561e-01 0.0000e+00
72 0.0000e+00 1.3830e-04 1.0806e-04 2.7054e-04 1.0806e-04 1.6544e-01 0.0000e+00
73 0.0000e+00 1.5300e-04 1.0861e-04 2.4184e-04 1.0861e-04 1.6531e-01 0.0000e+00
74 0.0000e+00 1.5980e-04 1.0906e-04 2.1633e-04 1.0906e-04 1.6520e-01 0.0000e+00
75 0.0000e+00 1.5300e-04 1.0943e-04 1.9366e-04 1.0943e-04 1.6512e-01 0.0000e+00
76 0.0000e+00 1.3830e-04 1.0972e-04 1.7348e-04 1.0972e-04 1.6506e-01 0.0000e+00
77 0.0000e+00 1.1290e-04 1.0994e-04 1.5550e-04 1.0994e-04 1.6501e-01 0.0000e+00
78 0.0000e+00 7.9800e-05 1.1010e-04 1.3948e-04 1.1010e-04 1.6498e-01 0.0000e+00
79 0.0000e+00 3.8700e-05 1.1020e-04 1.2519e-04 1.1020e-04 1.6497e-01 0.0000e+00
80 0.0000e+00 0.0000e+00 1.1025e-04 1.1243e-04 1.1025e-04 1.6496e-01 0.0000e+00
81 0.0000e+00 0.0000e+00 1.1026e-04 1.0103e-04 1.1026e-04 1.6497e-01 0.0000e+00
82 0.0000e+00 0.0000e+00 1.1022e-04 9.0844e-05 1.1022e-04 1.6499e-01 0.0000e+00
83 0.0000e+00 0.0000e+00 1.1016e-04 8.1728e-05 1.1016e-04 1.6502e-01 0.0000e+00
84 0.0000e+00 0.0000e+00 1.1006e-04 7.3567e-05 1.1006e-04 1.6506e-01 0.0000e+00
85 0.0000e+00 0.0000e+00 1.0993e-04 6.6256e-05 1.0993e-04 1.6510e-01 0.0000e+00
86 0.0000e+00 0.0000e+00 1.0978e-04 5.9703e-05 1.0978e-04 1.6515e-01 0.0000e+00
87 0.0000e+00 0.0000e+00 1.0961e-04 5.3826e-05 1.0961e-04 1.6521e-01 0.0000e+00
88 0.0000e+00 0.0000e+00 1.0942e-04 4.8551e-05 1.0942e-04 1.6527e-01 0.0000e+00
89 0.0000e+00 0.0000e+00 1.0921e-04 4.3814e-05 1.0921e-04 1.6533e-01 0.0000e+00
90 0.0000e+00 0.0000e+00 1.0899e-04 3.9559e-05 1.0899e-04 1.6540e-01 0.0000e+00
91 0.0000e+00 0.0000e+00 1.0875e-04 3.5733e-05 1.0875e-04 1.6548e-01 0.0000e+00
92 0.0000e+00 0.0000e+00 1.0851e-04 3.2291e-05 1.0851e-04 1.6555e-01 0.0000e+00
93 0.0000e+00 1.9100e-05 1.0825e-04 2.9194e-05 1.0825e-04 1.6563e-01 0.0000e+00
94 0.0000e+00 3.6800e-05 1.0798e-04 2.6405e-05 1.0798e-04 1.6571e-01 0.0000e+00
95 0.0000e+00 5.2100e-05 1.0771e-04 2.3893e-05 1.0771e-04 1.6580e-01 0.0000e+00
96 0.0000e+00 6.3800e-05 1.0742e-04 2.1629e-05 1.0742e-04 1.6588e-01 0.0000e+00
97 5.0000e-04 7.0600e-05 1.0714e-04 1.9587e-05 1.0714e-04 1.6597e-01 0.0000e+00
98 5.0000e-04 7.3700e-05 1.0684e-04 1.7744e-05 1.0684e-04 1.6606e-01 0.0000e+00
99 0.0000e+00 7.0600e-05 1.0655e-04 1.6081e-05 1.0655e-04 1.6615e-01 0.0000e+00
100 0.0000e+00 6.3800e-05 1.0625e-04 1.4579e-05 1.0625e-04 1.6624e-01 0.0000e+00
101 0.0000e+00 5.2100e-05 1.0594e-04 1.3223e-05 1.0594e-04 1.6633e-01 0.0000e+00
102 0.0000e+00 3.6800e-05 1.0564e-04 1.1997e-05 1.0564e-04 1.6643e-01 0.0000e+00
103 0.0000e+00 1.7800e-05 1.0533e-04 1.0889e-05 1.0533e-04 1.6652e-01 0.0000e+00
104 0.0000e+00 0.0000e+00 1.0502e-04 9.8861e-06 1.0502e-04 1.6662e-01 0.0000e+00
105 0.0000e+00 0.0000e+00 1.0470e-04 8.9788e-06 1.0470e-04 1.6671e-01 0.0000e+00
106 0.0000e+00 0.0000e+00 1.0439e-04 8.1575e-06 1.0439e-04 1.6681e-01 0.0000e+00
107 0.0000e+00 0.0000e+00 1.0408e-04 7.4136e-06 1.0408e-04 1.6691e-01 0.0000e+00
108 0.0000e+00 0.0000e+00 1.0376e-04 6.7398e-06 1.0376e-04 1.6700e-01 0.0000e+00
109 0.0000e+00 0.0000e+00 1.0345e-04 6.1291e-06 1.0345e-04 1.6710e-01 0.0000e+00
